dataset,name,datatype,nseq,mean_nsites
Drosophila,EMGT00050000000631,NT,11,2724.2727272727275
Drosophila,EMGT00050000003393,NT,10,2704.5
Drosophila,EMGT00050000009077,NT,8,4771.875
Drosophila,EMGT00050000009424,NT,11,2024.4545454545455
Drosophila,EMGT00050000004160,NT,46,1066.5
Drosophila,EMGT00050000001549,NT,12,2691
Drosophila,EMGT00050000001060,NT,8,7477.875
Drosophila,EMGT00050000003869,NT,8,657
Drosophila,EMGT00050000001507,NT,12,1290
Drosophila,EMGT00050000001650,NT,14,828.8571428571429
Drosophila,EMGT00050000004750,NT,37,832.2162162162163
Drosophila,EMGT00050000007526,NT,11,1050.8181818181818
Drosophila,EMGT00050000000018,NT,10,918.6
Drosophila,EMGT00050000002291,NT,10,4712.4
Drosophila,EMGT00050000005156,NT,12,1405.25
Drosophila,EMGT00050000008175,NT,11,1998
Drosophila,EMGT00050000007391,NT,12,4579.5
Drosophila,EMGT00050000002022,NT,11,2171.7272727272725
Drosophila,EMGT00050000001733,NT,12,2449.75
Drosophila,EMGT00050000002612,NT,12,2860.5
Drosophila,EMGT00050000000301,NT,12,2126.25
Drosophila,EMGT00050000001699,NT,11,2170.090909090909
Drosophila,EMGT00050000003944,NT,11,2955.2727272727275
Drosophila,EMGT00050000002241,NT,29,1215
Drosophila,EMGT00050000007668,NT,11,2386.3636363636365
Drosophila,EMGT00050000002471,NT,9,5724.333333333333
Drosophila,EMGT00050000000162,NT,11,5143.363636363636
Drosophila,EMGT00050000005505,NT,12,477
Drosophila,EMGT00050000002158,NT,9,815.6666666666666
Drosophila,EMGT00050000009415,NT,10,4046.1
Drosophila,EMGT00050000000587,NT,11,1734.8181818181818
Drosophila,EMGT00050000003542,NT,11,1153.3636363636363
Drosophila,EMGT00050000001051,NT,27,2012.888888888889
Drosophila,EMGT00050000004685,NT,12,1681
Drosophila,EMGT00050000004962,NT,9,4028.6666666666665
Drosophila,EMGT00050000001536,NT,10,4012.8
Drosophila,EMGT00050000002227,NT,21,1956.5714285714287
Drosophila,EMGT00050000001986,NT,9,1850.3333333333333
Drosophila,EMGT00050000007843,NT,36,798.5833333333334
Drosophila,EMGT00050000009225,NT,23,1983
Drosophila,EMGT00050000004655,NT,8,1610.625
Drosophila,EMGT00050000000557,NT,10,626.4
Drosophila,EMGT00050000002674,NT,10,6675.6
Drosophila,EMGT00050000000367,NT,12,8192
Drosophila,EMGT00050000005229,NT,10,4019.4
Drosophila,EMGT00050000002313,NT,11,2020.6363636363637
Drosophila,EMGT00050000001956,NT,9,1007.3333333333334
Drosophila,EMGT00050000000505,NT,18,1198.8333333333333
Drosophila,EMGT00050000004649,NT,12,2759.25
Drosophila,EMGT00050000001749,NT,11,1438.6363636363637
Drosophila,EMGT00050000002058,NT,22,1215.2727272727273
Drosophila,EMGT00050000005405,NT,10,2854.2
Drosophila,EMGT00050000005162,NT,10,4683.9
Drosophila,EMGT00050000000186,NT,58,416.4310344827586
Drosophila,EMGT00050000002495,NT,45,1476.0666666666666
Drosophila,EMGT00050000008216,NT,17,1243.4117647058824
Drosophila,EMGT00050000001384,NT,8,2761.875
Drosophila,EMGT00050000002626,NT,11,1282.6363636363637
Drosophila,EMGT00050000002341,NT,11,2193.818181818182
Drosophila,EMGT00050000000652,NT,11,5096.181818181818
Drosophila,EMGT00050000001450,NT,12,1986.75
Drosophila,EMGT00050000001799,NT,11,1705.090909090909
Drosophila,EMGT00050000002088,NT,10,1327.5
Drosophila,EMGT00050000003510,NT,12,1086.75
Drosophila,EMGT00050000003077,NT,12,1822.25
Drosophila,EMGT00050000001564,NT,11,1736.7272727272727
Drosophila,EMGT00050000004103,NT,11,3591.5454545454545
Drosophila,EMGT00050000004254,NT,11,2535.5454545454545
Drosophila,EMGT00050000003193,NT,11,2025
Drosophila,EMGT00050000000156,NT,58,878.2241379310345
Drosophila,EMGT00050000007291,NT,26,2968.6153846153848
Drosophila,EMGT00050000001502,NT,11,2128.3636363636365
Drosophila,EMGT00050000001065,NT,9,7264.333333333333
