No.,Model,-LnL,df,AIC,AICc,BIC
131,FLU+G4,41789.051,118,83814.102,83834.379,84441.376
132,FLU+I+G4,41784.930,119,83807.861,83828.496,84440.451
133,FLU+F,41602.325,136,83476.650,83503.909,84199.610
134,FLU+F+I,41537.477,137,83348.954,83376.635,84077.230
135,FLU+F+G4,41000.214,137,82274.429,82302.109,83002.705
136,FLU+F+I+G4,40997.554,138,82271.108,82299.214,83004.700
137,Blosum62,43564.191,117,87362.382,87382.304,87984.341
138,Blosum62+I,43478.731,118,87193.462,87213.739,87820.736
139,Blosum62+G4,43089.728,118,86415.457,86435.734,87042.731
140,Blosum62+I+G4,43081.403,119,86400.806,86421.442,87033.396
141,Blosum62+F,43099.885,136,86471.771,86499.030,87194.731
142,Blosum62+F+I,43026.151,137,86326.301,86353.982,87054.577
143,Blosum62+F+G4,42592.209,137,85458.418,85486.098,86186.694
144,Blosum62+F+I+G4,42586.268,138,85448.535,85476.641,86182.127
145,mtMet,44143.267,117,88520.533,88540.455,89142.491
146,mtMet+I,44042.319,118,88320.637,88340.914,88947.911
147,mtMet+G4,43375.511,118,86987.022,87007.300,87614.297
148,mtMet+I+G4,43368.039,119,86974.079,86994.714,87606.669
149,mtMet+F,41670.390,136,83612.780,83640.040,84335.741
150,mtMet+F+I,41590.331,137,83454.663,83482.344,84182.939
151,mtMet+F+G4,41083.431,137,82440.861,82468.542,83169.137
152,mtMet+F+I+G4,41075.766,138,82427.532,82455.638,83161.124
153,mtVer,43577.399,117,87388.799,87408.721,88010.757
154,mtVer+I,43480.783,118,87197.565,87217.843,87824.840
155,mtVer+G4,42723.728,118,85683.456,85703.733,86310.730
156,mtVer+I+G4,42718.707,119,85675.414,85696.050,86308.005
157,mtVer+F,41318.720,136,82909.441,82936.700,83632.401
158,mtVer+F+I,41226.120,137,82726.240,82753.920,83454.516
159,mtVer+F+G4,40744.280,137,81762.559,81790.240,82490.836
160,mtVer+F+I+G4,40734.039,138,81744.079,81772.184,82477.671
161,mtInv,45103.707,117,90441.414,90461.336,91063.372
162,mtInv+I,44992.729,118,90221.458,90241.735,90848.732
163,mtInv+G4,44418.925,118,89073.851,89094.128,89701.125
164,mtInv+I+G4,44407.928,119,89053.855,89074.491,89686.445
165,mtInv+F,42184.496,136,84640.992,84668.251,85363.952
166,mtInv+F+I,42099.571,137,84473.142,84500.823,85201.418
167,mtInv+F+G4,41600.939,137,83475.877,83503.558,84204.153
168,mtInv+F+I+G4,41592.052,138,83460.105,83488.210,84193.697
