No.,Model,-LnL,df,AIC,AICc,BIC
33,cpREV,22933.469,105,46076.939,46118.238,46546.210
34,cpREV+I,22751.908,106,45715.816,45757.980,46189.557
35,cpREV+G4,21985.327,106,44182.653,44224.817,44656.394
36,cpREV+I+G4,21983.181,107,44180.362,44223.401,44658.572
37,cpREV+F,22870.112,124,45988.224,46047.840,46542.411
38,cpREV+F+I,22697.318,125,45644.636,45705.330,46203.292
39,cpREV+F+G4,21935.404,125,44120.809,44181.503,44679.465
40,cpREV+F+I+G4,21933.584,126,44119.167,44180.951,44682.293
41,mtREV,24342.323,105,48894.645,48935.944,49363.917
42,mtREV+I,24135.775,106,48483.551,48525.714,48957.291
43,mtREV+G4,23018.620,106,46249.241,46291.404,46722.981
44,mtREV+I+G4,23014.633,107,46243.266,46286.305,46721.476
45,mtREV+F,23066.160,124,46380.321,46439.936,46934.508
46,mtREV+F+I,22896.699,125,46043.398,46104.092,46602.055
47,mtREV+F+G4,22009.487,125,44268.973,44329.667,44827.629
48,mtREV+F+I+G4,22006.894,126,44265.789,44327.572,44828.914
49,rtREV,23242.438,105,46694.876,46736.175,47164.147
50,rtREV+I,23042.150,106,46296.300,46338.464,46770.041
51,rtREV+G4,22276.377,106,44764.754,44806.918,45238.495
52,rtREV+I+G4,22271.972,107,44757.944,44800.983,45236.154
53,rtREV+F,23101.050,124,46450.101,46509.716,47004.288
54,rtREV+F+I,22908.498,125,46066.995,46127.689,46625.652
55,rtREV+F+G4,22146.518,125,44543.036,44603.730,45101.692
56,rtREV+F+I+G4,22143.376,126,44538.752,44600.536,45101.877
57,mtART,25770.289,105,51750.579,51791.878,52219.850
58,mtART+I,25484.285,106,51180.570,51222.734,51654.311
59,mtART+G4,23841.291,106,47894.582,47936.746,48368.323
60,mtART+I+G4,23837.879,107,47889.757,47932.797,48367.967
61,mtART+F,24248.776,124,48745.551,48805.166,49299.738
62,mtART+F+I,24028.388,125,48306.777,48367.471,48865.433
63,mtART+F+G4,22790.882,125,45831.764,45892.458,46390.420
64,mtART+F+I+G4,22788.063,126,45828.126,45889.910,46391.252
65,mtZOA,24567.300,105,49344.600,49385.898,49813.871
66,mtZOA+I,24322.717,106,48857.433,48899.597,49331.174
67,mtZOA+G4,22997.055,106,46206.111,46248.274,46679.851
68,mtZOA+I+G4,22994.072,107,46202.143,46245.182,46680.353
69,mtZOA+F,23466.889,124,47181.778,47241.393,47735.965
70,mtZOA+F+I,23269.367,125,46788.734,46849.428,47347.391
71,mtZOA+F+G4,22277.838,125,44805.675,44866.369,45364.331
72,mtZOA+F+I+G4,22274.519,126,44801.037,44862.821,45364.163
73,VT,22841.294,105,45892.588,45933.887,46361.859
74,VT+I,22642.993,106,45497.987,45540.150,45971.727
75,VT+G4,21965.685,106,44143.370,44185.533,44617.110
76,VT+I+G4,21962.411,107,44138.822,44181.862,44617.032
77,VT+F,22789.569,124,45827.137,45886.752,46381.324
78,VT+F+I,22594.375,125,45438.749,45499.443,45997.406
79,VT+F+G4,21928.613,125,44107.227,44167.921,44665.883
80,VT+F+I+G4,21925.444,126,44102.887,44164.671,44666.013
81,LG,22993.548,105,46197.095,46238.394,46666.366
82,LG+I,22786.660,106,45785.319,45827.483,46259.060
83,LG+G4,21998.630,106,44209.260,44251.424,44683.001
84,LG+I+G4,21994.968,107,44203.936,44246.975,44682.146
85,LG+F,22902.650,124,46053.299,46112.915,46607.486
86,LG+F+I,22702.953,125,45655.906,45716.600,46214.563
87,LG+F+G4,21936.621,125,44123.242,44183.936,44681.899
88,LG+F+I+G4,21933.440,126,44118.880,44180.664,44682.005
89,DCMut,23186.711,105,46583.422,46624.720,47052.693
90,DCMut+I,22995.522,106,46203.044,46245.208,46676.785
91,DCMut+G4,22230.590,106,44673.181,44715.344,45146.921
92,DCMut+I+G4,22224.669,107,44663.338,44706.377,45141.548
93,DCMut+F,23092.744,124,46433.489,46493.104,46987.676
94,DCMut+F+I,22901.222,125,46052.443,46113.137,46611.100
95,DCMut+F+G4,22137.898,125,44525.796,44586.489,45084.452
96,DCMut+F+I+G4,22132.358,126,44516.715,44578.499,45079.841
97,PMB,23252.803,105,46715.606,46756.904,47184.877
98,PMB+I,23046.749,106,46305.498,46347.661,46779.238
99,PMB+G4,22324.776,106,44861.552,44903.715,45335.292
100,PMB+I+G4,22321.355,107,44856.710,44899.749,45334.919
101,PMB+F,23250.850,124,46749.700,46809.315,47303.887
102,PMB+F+I,23052.636,125,46355.272,46415.965,46913.928
103,PMB+F+G4,22343.636,125,44937.273,44997.967,45495.929
104,PMB+F+I+G4,22340.755,126,44933.509,44995.293,45496.635
105,HIVb,22934.092,105,46078.184,46119.483,46547.455
106,HIVb+I,22691.157,106,45594.314,45636.477,46068.054
107,HIVb+G4,21802.247,106,43816.494,43858.658,44290.235
108,HIVb+I+G4,21798.245,107,43810.490,43853.529,44288.700
109,HIVb+F,22834.296,124,45916.591,45976.207,46470.778
110,HIVb+F+I,22589.710,125,45429.421,45490.114,45988.077
111,HIVb+F+G4,21704.031,125,43658.062,43718.756,44216.718
112,HIVb+F+I+G4,21700.535,126,43653.070,43714.854,44216.195
113,HIVw,23693.449,105,47596.899,47638.197,48066.170
114,HIVw+I,23440.976,106,47093.952,47136.116,47567.693
115,HIVw+G4,22541.722,106,45295.445,45337.608,45769.185
116,HIVw+I+G4,22532.630,107,45279.260,45322.299,45757.469
117,HIVw+F,23339.629,124,46927.259,46986.874,47481.446
118,HIVw+F+I,23078.585,125,46407.170,46467.863,46965.826
119,HIVw+F+G4,22192.607,125,44635.214,44695.908,45193.871
120,HIVw+F+I+G4,22186.571,126,44625.143,44686.926,45188.268
121,JTTDCMut,22521.070,105,45252.140,45293.439,45721.411
122,JTTDCMut+I,22316.456,106,44844.913,44887.076,45318.653
123,JTTDCMut+G4,21593.096,106,43398.191,43440.355,43871.932
124,JTTDCMut+I+G4,21589.403,107,43392.807,43435.846,43871.016
125,JTTDCMut+F,22471.922,124,45191.844,45251.460,45746.031
126,JTTDCMut+F+I,22266.470,125,44782.941,44843.634,45341.597
127,JTTDCMut+F+G4,21556.259,125,43362.519,43423.212,43921.175
128,JTTDCMut+F+I+G4,21552.584,126,43357.167,43418.951,43920.293
129,FLU,23253.502,105,46717.005,46758.303,47186.276
130,FLU+I,23023.298,106,46258.596,46300.760,46732.337
131,FLU+G4,22123.314,106,44458.628,44500.792,44932.369
132,FLU+I+G4,22118.297,107,44450.594,44493.633,44928.804
133,FLU+F,23126.218,124,46500.437,46560.052,47054.624
134,FLU+F+I,22901.205,125,46052.411,46113.104,46611.067
135,FLU+F+G4,21981.816,125,44213.632,44274.326,44772.289
136,FLU+F+I+G4,21978.111,126,44208.222,44270.006,44771.348
137,Blosum62,23331.602,105,46873.204,46914.503,47342.475
138,Blosum62+I,23134.711,106,46481.421,46523.585,46955.162
139,Blosum62+G4,22417.075,106,45046.150,45088.313,45519.890
140,Blosum62+I+G4,22413.910,107,45041.820,45084.860,45520.030
141,Blosum62+F,23293.143,124,46834.285,46893.901,47388.472
142,Blosum62+F+I,23104.767,125,46459.533,46520.227,47018.190
143,Blosum62+F+G4,22399.701,125,45049.402,45110.096,45608.058
144,Blosum62+F+I+G4,22397.067,126,45046.135,45107.918,45609.260
145,mtMet,24217.592,105,48645.184,48686.483,49114.456
146,mtMet+I,23981.938,106,48175.875,48218.039,48649.616
147,mtMet+G4,22819.658,106,45851.316,45893.480,46325.057
148,mtMet+I+G4,22816.141,107,45846.282,45889.321,46324.491
149,mtMet+F,22877.811,124,46003.622,46063.238,46557.809
150,mtMet+F+I,22680.526,125,45611.052,45671.746,46169.708
151,mtMet+F+G4,21777.607,125,43805.215,43865.909,44363.871
152,mtMet+F+I+G4,21775.058,126,43802.116,43863.900,44365.242
153,mtVer,24292.189,105,48794.378,48835.676,49263.649
154,mtVer+I,24044.547,106,48301.094,48343.258,48774.835
155,mtVer+G4,22769.081,106,45750.161,45792.325,46223.902
156,mtVer+I+G4,22765.033,107,45744.065,45787.105,46222.275
157,mtVer+F,22985.295,124,46218.589,46278.205,46772.776
158,mtVer+F+I,22769.908,125,45789.817,45850.510,46348.473
159,mtVer+F+G4,21810.848,125,43871.696,43932.389,44430.352
160,mtVer+F+I+G4,21807.087,126,43866.174,43927.958,44429.300
161,mtInv,24453.449,105,49116.898,49158.197,49586.169
162,mtInv+I,24219.340,106,48650.681,48692.845,49124.421
163,mtInv+G4,23152.553,106,46517.106,46559.270,46990.847
164,mtInv+I+G4,23149.124,107,46512.249,46555.288,46990.458
165,mtInv+F,22911.487,124,46070.974,46130.590,46625.161
166,mtInv+F+I,22717.344,125,45684.688,45745.381,46243.344
167,mtInv+F+G4,21883.903,125,44017.807,44078.500,44576.463
168,mtInv+F+I+G4,21881.006,126,44014.011,44075.795,44577.137
