No.,Model,-LnL,df,AIC,AICc,BIC
126,JTTDCMut+F+I,18847.730,131,37957.460,37997.534,38599.719
127,JTTDCMut+F+G4,18095.557,131,36453.115,36493.189,37095.374
128,JTTDCMut+F+I+G4,18094.004,132,36452.009,36492.742,37099.171
129,FLU,20194.061,111,40610.122,40638.280,41154.326
130,FLU+I,19704.021,112,39632.041,39660.740,40181.149
131,FLU+G4,18757.198,112,37738.396,37767.095,38287.503
132,FLU+I+G4,18754.994,113,37735.988,37765.232,38289.998
133,FLU+F,19863.011,130,39986.022,40025.443,40623.378
134,FLU+F+I,19376.615,131,39015.231,39055.305,39657.490
135,FLU+F+G4,18434.986,131,37131.971,37172.046,37774.231
136,FLU+F+I+G4,18432.818,132,37129.637,37170.370,37776.799
137,Blosum62,20082.071,111,40386.143,40414.301,40930.347
138,Blosum62+I,19629.795,112,39483.589,39512.288,40032.697
139,Blosum62+G4,18868.848,112,37961.695,37990.394,38510.803
140,Blosum62+I+G4,18866.241,113,37958.482,37987.726,38512.492
141,Blosum62+F,19807.394,130,39874.788,39914.210,40512.145
142,Blosum62+F+I,19364.845,131,38991.689,39031.763,39633.948
143,Blosum62+F+G4,18613.307,131,37488.614,37528.688,38130.873
144,Blosum62+F+I+G4,18610.765,132,37485.531,37526.264,38132.693
145,mtMet,20672.456,111,41566.912,41595.071,42111.116
146,mtMet+I,20156.037,112,40536.075,40564.773,41085.182
147,mtMet+G4,19098.154,112,38420.309,38449.007,38969.416
148,mtMet+I+G4,19097.980,113,38421.961,38451.205,38975.971
149,mtMet+F,19679.264,130,39618.529,39657.950,40255.885
150,mtMet+F+I,19200.369,131,38662.737,38702.811,39304.997
151,mtMet+F+G4,18269.429,131,36800.859,36840.933,37443.118
152,mtMet+F+I+G4,18269.301,132,36802.601,36843.334,37449.763
153,mtVer,20818.496,111,41858.991,41887.150,42403.195
154,mtVer+I,20295.420,112,40814.840,40843.538,41363.947
155,mtVer+G4,19155.471,112,38534.941,38563.640,39084.049
156,mtVer+I+G4,19154.650,113,38535.300,38564.544,39089.310
157,mtVer+F,19923.383,130,40106.767,40146.188,40744.124
158,mtVer+F+I,19421.766,131,39105.533,39145.607,39747.792
159,mtVer+F+G4,18442.382,131,37146.765,37186.839,37789.024
160,mtVer+F+I+G4,18441.065,132,37146.129,37186.862,37793.291
161,mtInv,20816.878,111,41855.756,41883.914,42399.960
162,mtInv+I,20301.364,112,40826.727,40855.426,41375.834
163,mtInv+G4,19320.340,112,38864.679,38893.378,39413.786
164,mtInv+I+G4,19319.752,113,38865.505,38894.749,39419.515
165,mtInv+F,19608.417,130,39476.834,39516.256,40114.191
166,mtInv+F+I,19140.429,131,38542.858,38582.932,39185.117
167,mtInv+F+G4,18272.022,131,36806.044,36846.118,37448.303
168,mtInv+F+I+G4,18271.435,132,36806.870,36847.604,37454.032
