No.,Model,-LnL,df,AIC,AICc,BIC
66,mtZOA+I,12978.821,118,26193.641,26222.124,26784.538
67,mtZOA+G4,12394.911,118,25025.822,25054.305,25616.719
68,mtZOA+I+G4,12379.671,119,24997.342,25026.337,25593.246
69,mtZOA+F,12935.070,136,26142.141,26180.637,26823.174
70,mtZOA+F+I,12535.095,137,25344.190,25383.293,26030.231
71,mtZOA+F+G4,12056.376,137,24386.751,24425.853,25072.792
72,mtZOA+F+I+G4,12046.232,138,24368.465,24408.179,25059.514
73,VT,12530.528,117,25295.057,25323.032,25880.946
74,VT+I,12183.632,118,24603.263,24631.746,25194.160
75,VT+G4,11875.130,118,23986.259,24014.742,24577.156
76,VT+I+G4,11871.448,119,23980.895,24009.890,24576.800
77,VT+F,12488.085,136,25248.171,25286.667,25929.205
78,VT+F+I,12144.400,137,24562.800,24601.903,25248.841
79,VT+F+G4,11832.631,137,23939.261,23978.364,24625.303
80,VT+F+I+G4,11829.576,138,23935.152,23974.866,24626.201
81,LG,12670.722,117,25575.444,25603.420,26161.334
82,LG+I,12304.404,118,24844.807,24873.290,25435.704
83,LG+G4,11957.897,118,24151.794,24180.277,24742.691
84,LG+I+G4,11953.042,119,24144.084,24173.079,24739.989
85,LG+F,12596.300,136,25464.600,25503.095,26145.633
86,LG+F+I,12233.578,137,24741.157,24780.259,25427.198
87,LG+F+G4,11884.307,137,24042.614,24081.717,24728.656
88,LG+F+I+G4,11880.432,138,24036.864,24076.578,24727.913
89,DCMut,12582.902,117,25399.805,25427.781,25985.694
90,DCMut+I,12239.558,118,24715.116,24743.599,25306.013
91,DCMut+G4,11890.545,118,24017.089,24045.572,24607.986
92,DCMut+I+G4,11881.913,119,24001.827,24030.822,24597.731
93,DCMut+F,12560.929,136,25393.858,25432.354,26074.892
94,DCMut+F+I,12206.667,137,24687.335,24726.437,25373.376
95,DCMut+F+G4,11842.188,137,23958.376,23997.479,24644.418
96,DCMut+F+I+G4,11836.181,138,23948.363,23988.077,24639.412
97,PMB,12778.892,117,25791.783,25819.759,26377.672
98,PMB+I,12419.969,118,25075.938,25104.420,25666.834
99,PMB+G4,12097.950,118,24431.901,24460.384,25022.798
100,PMB+I+G4,12093.127,119,24424.254,24453.249,25020.158
101,PMB+F,12721.468,136,25714.936,25753.432,26395.970
102,PMB+F+I,12370.421,137,25014.843,25053.945,25700.884
103,PMB+F+G4,12039.413,137,24352.826,24391.928,25038.867
104,PMB+F+I+G4,12035.448,138,24346.896,24386.610,25037.945
105,HIVb,12557.698,117,25349.396,25377.372,25935.286
106,HIVb+I,12180.174,118,24596.347,24624.830,25187.244
107,HIVb+G4,11812.272,118,23860.544,23889.027,24451.441
108,HIVb+I+G4,11806.664,119,23851.328,23880.323,24447.233
109,HIVb+F,12407.231,136,25086.463,25124.959,25767.496
110,HIVb+F+I,12024.586,137,24323.173,24362.275,25009.214
111,HIVb+F+G4,11664.860,137,23603.719,23642.822,24289.761
112,HIVb+F+I+G4,11658.277,138,23592.555,23632.269,24283.604
113,HIVw,12999.189,117,26232.378,26260.354,26818.268
114,HIVw+I,12632.235,118,25500.471,25528.953,26091.368
115,HIVw+G4,12225.941,118,24687.882,24716.365,25278.779
116,HIVw+I+G4,12221.767,119,24681.534,24710.529,25277.438
117,HIVw+F,12672.467,136,25616.935,25655.431,26297.969
118,HIVw+F+I,12296.015,137,24866.029,24905.131,25552.070
119,HIVw+F+G4,11914.145,137,24102.290,24141.393,24788.332
120,HIVw+F+I+G4,11908.341,138,24092.681,24132.395,24783.730
121,JTTDCMut,12316.888,117,24867.776,24895.752,25453.665
122,JTTDCMut+I,11973.898,118,24183.795,24212.278,24774.692
123,JTTDCMut+G4,11657.784,118,23551.569,23580.051,24142.465
124,JTTDCMut+I+G4,11652.856,119,23543.711,23572.706,24139.616
125,JTTDCMut+F,12286.284,136,24844.568,24883.064,25525.602
126,JTTDCMut+F+I,11941.399,137,24156.798,24195.900,24842.839
127,JTTDCMut+F+G4,11624.145,137,23522.290,23561.393,24208.331
128,JTTDCMut+F+I+G4,11620.195,138,23516.391,23556.105,24207.440
129,FLU,12700.846,117,25635.691,25663.667,26221.580
130,FLU+I,12333.522,118,24903.044,24931.527,25493.941
131,FLU+G4,11939.547,118,24115.094,24143.577,24705.991
132,FLU+I+G4,11937.127,119,24112.255,24141.250,24708.159
133,FLU+F,12545.445,136,25362.890,25401.386,26043.924
134,FLU+F+I,12173.609,137,24621.218,24660.320,25307.259
135,FLU+F+G4,11775.366,137,23824.732,23863.834,24510.773
136,FLU+F+I+G4,11772.541,138,23821.082,23860.796,24512.131
137,Blosum62,12846.983,117,25927.965,25955.941,26513.854
138,Blosum62+I,12494.244,118,25224.488,25252.971,25815.385
139,Blosum62+G4,12170.833,118,24577.666,24606.149,25168.563
140,Blosum62+I+G4,12166.431,119,24570.862,24599.857,25166.767
141,Blosum62+F,12750.693,136,25773.385,25811.881,26454.419
142,Blosum62+F+I,12407.888,137,25089.777,25128.879,25775.818
143,Blosum62+F+G4,12076.166,137,24426.333,24465.435,25112.374
144,Blosum62+F+I+G4,12072.911,138,24421.822,24461.536,25112.871
145,mtMet,13258.930,117,26751.861,26779.837,27337.750
146,mtMet+I,12826.610,118,25889.220,25917.703,26480.117
147,mtMet+G4,12345.851,118,24927.701,24956.184,25518.598
148,mtMet+I+G4,12335.871,119,24909.743,24938.737,25505.647
149,mtMet+F,12568.716,136,25409.432,25447.928,26090.466
150,mtMet+F+I,12181.086,137,24636.171,24675.274,25322.213
151,mtMet+F+G4,11778.747,137,23831.493,23870.596,24517.535
152,mtMet+F+I+G4,11773.813,138,23823.627,23863.341,24514.676
153,mtVer,13164.481,117,26562.962,26590.938,27148.852
154,mtVer+I,12742.316,118,25720.631,25749.114,26311.528
155,mtVer+G4,12229.098,118,24694.195,24722.678,25285.092
156,mtVer+I+G4,12218.524,119,24675.048,24704.043,25270.953
157,mtVer+F,12634.293,136,25540.585,25579.081,26221.619
158,mtVer+F+I,12232.283,137,24738.566,24777.669,25424.608
159,mtVer+F+G4,11815.703,137,23905.407,23944.509,24591.448
160,mtVer+F+I+G4,11807.981,138,23891.962,23931.676,24583.011
161,mtInv,13488.427,117,27210.854,27238.830,27796.743
162,mtInv+I,13055.379,118,26346.758,26375.241,26937.655
163,mtInv+G4,12609.707,118,25455.414,25483.897,26046.311
164,mtInv+I+G4,12601.562,119,25441.124,25470.119,26037.028
165,mtInv+F,12597.309,136,25466.617,25505.113,26147.651
166,mtInv+F+I,12223.897,137,24721.794,24760.897,25407.836
167,mtInv+F+G4,11832.882,137,23939.765,23978.867,24625.806
168,mtInv+F+I+G4,11827.322,138,23930.644,23970.359,24621.693
