No.,Model,-LnL,df,AIC,AICc,BIC
76,VT+I+G4,24071.848,123,48389.695,48413.564,49034.911
77,VT+F,24861.617,140,50003.235,50034.543,50737.627
78,VT+F+I,24626.702,141,49535.403,49567.184,50275.040
79,VT+F+G4,24054.342,141,48390.684,48422.464,49130.321
80,VT+F+I+G4,24050.244,142,48384.488,48416.746,49129.371
81,LG,24935.377,121,50112.755,50135.820,50747.479
82,LG+I,24693.420,122,49630.841,49654.306,50270.811
83,LG+G4,24045.587,122,48335.174,48358.639,48975.144
84,LG+I+G4,24042.092,123,48330.185,48354.053,48975.400
85,LG+F,24974.800,140,50229.599,50260.908,50963.991
86,LG+F+I,24737.634,141,49757.268,49789.049,50496.905
87,LG+F+G4,24015.161,141,48312.322,48344.103,49051.960
88,LG+F+I+G4,24012.568,142,48309.135,48341.393,49054.018
89,DCMut,25139.708,121,50521.417,50544.482,51156.141
90,DCMut+I,24844.363,122,49932.725,49956.191,50572.695
91,DCMut+G4,24240.846,122,48725.691,48749.156,49365.661
92,DCMut+I+G4,24229.477,123,48704.954,48728.823,49350.170
93,DCMut+F,25031.813,140,50343.625,50374.934,51078.017
94,DCMut+F+I,24760.177,141,49802.355,49834.136,50541.992
95,DCMut+F+G4,24126.531,141,48535.061,48566.842,49274.699
96,DCMut+F+I+G4,24117.762,142,48519.523,48551.781,49264.406
97,PMB,25181.991,121,50605.983,50629.048,51240.707
98,PMB+I,24947.057,122,50138.113,50161.579,50778.083
99,PMB+G4,24379.225,122,49002.450,49025.915,49642.419
100,PMB+I+G4,24375.745,123,48997.490,49021.358,49642.705
101,PMB+F,25258.730,140,50797.461,50828.769,51531.853
102,PMB+F+I,25030.295,141,50342.591,50374.372,51082.228
103,PMB+F+G4,24429.156,141,49140.312,49172.093,49879.949
104,PMB+F+I+G4,24426.229,142,49136.458,49168.715,49881.341
105,HIVb,24854.673,121,49951.345,49974.411,50586.069
106,HIVb+I,24584.489,122,49412.978,49436.443,50052.947
107,HIVb+G4,23897.224,122,48038.449,48061.914,48678.419
108,HIVb+I+G4,23889.863,123,48025.725,48049.594,48670.941
109,HIVb+F,24816.592,140,49913.184,49944.493,50647.576
110,HIVb+F+I,24542.005,141,49366.010,49397.791,50105.648
111,HIVb+F+G4,23776.283,141,47834.565,47866.346,48574.203
112,HIVb+F+I+G4,23769.285,142,47822.571,47854.828,48567.454
113,HIVw,25591.679,121,51425.357,51448.423,52060.081
114,HIVw+I,25304.025,122,50852.051,50875.516,51492.021
115,HIVw+G4,24632.769,122,49509.539,49533.004,50149.508
116,HIVw+I+G4,24623.873,123,49493.747,49517.615,50138.962
117,HIVw+F,25220.664,140,50721.328,50752.636,51455.719
118,HIVw+F+I,24919.484,141,50120.968,50152.749,50860.605
119,HIVw+F+G4,24224.036,141,48730.072,48761.853,49469.710
120,HIVw+F+I+G4,24215.214,142,48714.429,48746.686,49459.312
121,JTTDCMut,24529.164,121,49300.328,49323.393,49935.052
122,JTTDCMut+I,24266.195,122,48776.391,48799.856,49416.361
123,JTTDCMut+G4,23697.094,122,47638.187,47661.653,48278.157
124,JTTDCMut+I+G4,23689.386,123,47624.773,47648.641,48269.988
125,JTTDCMut+F,24581.731,140,49443.462,49474.770,50177.854
126,JTTDCMut+F+I,24324.510,141,48931.021,48962.801,49670.658
127,JTTDCMut+F+G4,23708.190,141,47698.381,47730.162,48438.018
128,JTTDCMut+F+I+G4,23700.891,142,47685.781,47718.039,48430.664
129,FLU,24971.177,121,50184.354,50207.420,50819.079
130,FLU+I,24743.780,122,49731.560,49755.025,50371.530
131,FLU+G4,24054.583,122,48353.166,48376.631,48993.136
132,FLU+I+G4,24051.800,123,48349.600,48373.469,48994.816
133,FLU+F,24855.065,140,49990.131,50021.439,50724.522
134,FLU+F+I,24642.041,141,49566.081,49597.862,50305.719
135,FLU+F+G4,23883.028,141,48048.055,48079.836,48787.693
136,FLU+F+I+G4,23879.979,142,48043.958,48076.216,48788.841
137,Blosum62,25233.617,121,50709.234,50732.300,51343.959
138,Blosum62+I,25005.912,122,50255.825,50279.290,50895.795
139,Blosum62+G4,24438.830,122,49121.660,49145.125,49761.630
140,Blosum62+I+G4,24435.576,123,49117.152,49141.020,49762.367
141,Blosum62+F,25244.842,140,50769.684,50800.993,51504.076
142,Blosum62+F+I,25021.555,141,50325.109,50356.890,51064.746
143,Blosum62+F+G4,24425.043,141,49132.087,49163.868,49871.724
144,Blosum62+F+I+G4,24422.211,142,49128.423,49160.680,49873.306
145,mtMet,25679.563,121,51601.125,51624.191,52235.850
146,mtMet+I,25451.968,122,51147.935,51171.401,51787.905
147,mtMet+G4,24526.660,122,49297.321,49320.786,49937.291
148,mtMet+I+G4,24523.979,123,49293.958,49317.826,49939.173
149,mtMet+F,25012.813,140,50305.626,50336.934,51040.018
150,mtMet+F+I,24774.531,141,49831.061,49862.842,50570.698
151,mtMet+F+G4,23927.403,141,48136.806,48168.586,48876.443
152,mtMet+F+I+G4,23923.194,142,48130.388,48162.646,48875.271
153,mtVer,25753.566,121,51749.132,51772.198,52383.856
154,mtVer+I,25515.863,122,51275.726,51299.191,51915.696
155,mtVer+G4,24528.278,122,49300.555,49324.020,49940.525
156,mtVer+I+G4,24526.642,123,49299.285,49323.153,49944.500
157,mtVer+F,25076.593,140,50433.187,50464.495,51167.579
158,mtVer+F+I,24827.996,141,49937.993,49969.773,50677.630
159,mtVer+F+G4,23940.863,141,48163.726,48195.507,48903.363
160,mtVer+F+I+G4,23937.403,142,48158.807,48191.064,48903.690
161,mtInv,25928.825,121,52099.650,52122.715,52734.374
162,mtInv+I,25699.908,122,51643.816,51667.282,52283.786
163,mtInv+G4,24841.054,122,49926.108,49949.573,50566.078
164,mtInv+I+G4,24838.199,123,49922.398,49946.266,50567.613
165,mtInv+F,24993.565,140,50267.130,50298.438,51001.521
166,mtInv+F+I,24750.228,141,49782.456,49814.237,50522.094
167,mtInv+F+G4,23991.586,141,48265.172,48296.953,49004.809
168,mtInv+F+I+G4,23987.138,142,48258.276,48290.533,49003.159
