No.,Model,-LnL,df,AIC,AICc,BIC
101,PMB+F,23803.926,134,47875.851,47906.435,48570.490
102,PMB+F+I,23510.645,135,47291.290,47322.356,47991.112
103,PMB+F+G4,23092.046,135,46454.092,46485.158,47153.915
104,PMB+F+I+G4,23092.123,136,46456.246,46487.799,47161.252
105,HIVb,23878.181,115,47986.362,48008.559,48582.507
106,HIVb+I,23507.137,116,47246.274,47268.875,47847.603
107,HIVb+G4,22916.453,116,46064.906,46087.507,46666.235
108,HIVb+I+G4,22916.582,117,46067.164,46090.174,46673.677
109,HIVb+F,23798.023,134,47864.046,47894.629,48558.685
110,HIVb+F+I,23415.028,135,47100.057,47131.123,47799.879
111,HIVb+F+G4,22785.850,135,45841.700,45872.766,46541.523
112,HIVb+F+I+G4,22786.062,136,45844.125,45875.678,46549.131
113,HIVw,24724.474,115,49678.947,49701.143,50275.092
114,HIVw+I,24311.256,116,48854.513,48877.114,49455.842
115,HIVw+G4,23637.383,116,47506.766,47529.367,48108.095
116,HIVw+I+G4,23637.396,117,47508.792,47531.802,48115.305
117,HIVw+F,24472.594,134,49213.188,49243.771,49907.826
118,HIVw+F+I,24052.133,135,48374.266,48405.332,49074.089
119,HIVw+F+G4,23371.378,135,47012.757,47043.823,47712.579
120,HIVw+F+I+G4,23371.387,136,47014.774,47046.327,47719.780
121,JTTDCMut,23082.741,115,46395.482,46417.679,46991.627
122,JTTDCMut+I,22793.274,116,45818.548,45841.149,46419.877
123,JTTDCMut+G4,22403.175,116,45038.351,45060.952,45639.680
124,JTTDCMut+I+G4,22403.010,117,45040.019,45063.029,45646.532
125,JTTDCMut+F,23167.818,134,46603.635,46634.219,47298.274
126,JTTDCMut+F+I,22862.981,135,45995.962,46027.028,46695.784
127,JTTDCMut+F+G4,22438.487,135,45146.974,45178.040,45846.796
128,JTTDCMut+F+I+G4,22438.470,136,45148.939,45180.492,45853.945
129,FLU,23926.152,115,48082.304,48104.500,48678.449
130,FLU+I,23545.372,116,47322.743,47345.344,47924.072
131,FLU+G4,22945.641,116,46123.283,46145.884,46724.612
132,FLU+I+G4,22945.655,117,46125.310,46148.320,46731.823
133,FLU+F,23956.903,134,48181.806,48212.389,48876.444
134,FLU+F+I,23554.801,135,47379.601,47410.667,48079.424
135,FLU+F+G4,22885.279,135,46040.557,46071.623,46740.380
136,FLU+F+I+G4,22885.236,136,46042.472,46074.025,46747.478
137,Blosum62,23907.479,115,48044.959,48067.155,48641.104
138,Blosum62+I,23627.896,116,47487.792,47510.394,48089.121
139,Blosum62+G4,23242.699,116,46717.397,46739.998,47318.726
140,Blosum62+I+G4,23242.550,117,46719.100,46742.110,47325.613
141,Blosum62+F,23879.911,134,48027.822,48058.405,48722.461
142,Blosum62+F+I,23594.010,135,47458.020,47489.086,48157.843
143,Blosum62+F+G4,23160.694,135,46591.388,46622.454,47291.210
144,Blosum62+F+I+G4,23160.769,136,46593.538,46625.090,47298.544
145,mtMet,24031.173,115,48292.346,48314.543,48888.492
146,mtMet+I,23706.675,116,47645.350,47667.951,48246.679
147,mtMet+G4,23234.672,116,46701.344,46723.945,47302.673
148,mtMet+I+G4,23232.529,117,46699.059,46722.069,47305.572
149,mtMet+F,23227.205,134,46722.409,46752.993,47417.048
150,mtMet+F+I,22922.700,135,46115.399,46146.465,46815.222
151,mtMet+F+G4,22477.124,135,45224.249,45255.315,45924.072
152,mtMet+F+I+G4,22476.706,136,45225.412,45256.965,45930.418
153,mtVer,24142.966,115,48515.932,48538.129,49112.077
154,mtVer+I,23806.560,116,47845.120,47867.721,48446.449
155,mtVer+G4,23264.351,116,46760.702,46783.303,47362.031
156,mtVer+I+G4,23262.236,117,46758.473,46781.483,47364.986
157,mtVer+F,23561.266,134,47390.533,47421.116,48085.171
158,mtVer+F+I,23220.001,135,46710.003,46741.069,47409.825
159,mtVer+F+G4,22707.415,135,45684.831,45715.897,46384.653
160,mtVer+F+I+G4,22707.096,136,45686.191,45717.744,46391.198
161,mtInv,24346.835,115,48923.670,48945.866,49519.815
162,mtInv+I,24029.414,116,48290.829,48313.430,48892.158
163,mtInv+G4,23603.540,116,47439.081,47461.682,48040.410
164,mtInv+I+G4,23601.428,117,47436.856,47459.866,48043.368
165,mtInv+F,23279.359,134,46826.719,46857.302,47521.357
166,mtInv+F+I,22986.411,135,46242.822,46273.887,46942.644
167,mtInv+F+G4,22552.748,135,45375.496,45406.562,46075.318
168,mtInv+F+I+G4,22552.559,136,45377.118,45408.671,46082.124
