No.,Model,-LnL,df,AIC,AICc,BIC
45,mtREV+F,21661.382,118,43558.763,43581.231,44174.940
46,mtREV+F+I,21352.600,119,42943.201,42966.067,43564.599
47,mtREV+F+G4,21124.807,119,42487.614,42510.480,43109.012
48,mtREV+F+I+G4,21119.419,120,42478.838,42502.107,43105.458
49,rtREV,22230.569,99,44659.139,44674.741,45176.100
50,rtREV+I,21893.149,100,43986.298,44002.229,44508.482
51,rtREV+G4,21657.850,100,43515.701,43531.631,44037.884
52,rtREV+I+G4,21653.307,101,43508.613,43524.875,44036.019
53,rtREV+F,21927.359,118,44090.718,44113.185,44706.895
54,rtREV+F+I,21596.045,119,43430.090,43452.956,44051.488
55,rtREV+F+G4,21369.089,119,42976.178,42999.044,43597.576
56,rtREV+F+I+G4,21364.379,120,42968.758,42992.027,43595.378
57,mtART,23012.842,99,46223.685,46239.287,46740.646
58,mtART+I,22589.993,100,45379.987,45395.917,45902.170
59,mtART+G4,22237.534,100,44675.067,44690.998,45197.251
60,mtART+I+G4,22224.352,101,44650.704,44666.966,45178.109
61,mtART+F,22119.366,118,44474.732,44497.199,45090.909
62,mtART+F+I,21770.533,119,43779.067,43801.933,44400.465
63,mtART+F+G4,21516.766,119,43271.533,43294.399,43892.931
64,mtART+F+I+G4,21506.623,120,43253.245,43276.515,43879.866
65,mtZOA,22376.047,99,44950.094,44965.697,45467.056
66,mtZOA+I,22008.877,100,44217.754,44233.684,44739.937
67,mtZOA+G4,21742.672,100,43685.344,43701.274,44207.527
68,mtZOA+I+G4,21729.594,101,43661.187,43677.449,44188.593
69,mtZOA+F,21755.020,118,43746.040,43768.508,44362.217
70,mtZOA+F+I,21433.264,119,43104.529,43127.395,43725.927
71,mtZOA+F+G4,21216.374,119,42670.748,42693.615,43292.147
72,mtZOA+F+I+G4,21207.476,120,42654.953,42678.222,43281.573
73,VT,21879.682,99,43957.363,43972.966,44474.325
74,VT+I,21582.764,100,43365.528,43381.458,43887.711
75,VT+G4,21394.284,100,42988.568,43004.498,43510.751
76,VT+I+G4,21390.574,101,42983.147,42999.409,43510.553
77,VT+F,21636.306,118,43508.613,43531.080,44124.789
78,VT+F+I,21337.913,119,42913.826,42936.692,43535.224
79,VT+F+G4,21140.912,119,42519.825,42542.691,43141.223
80,VT+F+I+G4,21137.385,120,42514.771,42538.040,43141.391
81,LG,22137.753,99,44473.506,44489.109,44990.468
82,LG+I,21805.567,100,43811.134,43827.065,44333.318
83,LG+G4,21576.883,100,43353.766,43369.697,43875.950
84,LG+I+G4,21572.412,101,43346.825,43363.087,43874.230
85,LG+F,21728.373,118,43692.746,43715.214,44308.923
86,LG+F+I,21402.893,119,43043.786,43066.652,43665.184
87,LG+F+G4,21184.178,119,42606.357,42629.223,43227.755
88,LG+F+I+G4,21179.174,120,42598.349,42621.618,43224.969
89,DCMut,21784.481,99,43766.963,43782.566,44283.925
90,DCMut+I,21488.703,100,43177.407,43193.337,43699.590
91,DCMut+G4,21280.234,100,42760.467,42776.398,43282.651
92,DCMut+I+G4,21275.321,101,42752.642,42768.904,43280.047
93,DCMut+F,21544.594,118,43325.189,43347.656,43941.366
94,DCMut+F+I,21244.092,119,42726.185,42749.051,43347.583
95,DCMut+F+G4,21027.084,119,42292.167,42315.033,42913.566
96,DCMut+F+I+G4,21022.507,120,42285.014,42308.283,42911.634
97,PMB,22380.898,99,44959.795,44975.398,45476.757
98,PMB+I,22071.323,100,44342.646,44358.576,44864.829
99,PMB+G4,21870.328,100,43940.656,43956.586,44462.839
100,PMB+I+G4,21866.566,101,43935.132,43951.394,44462.538
101,PMB+F,22093.738,118,44423.476,44445.943,45039.653
102,PMB+F+I,21785.574,119,43809.149,43832.015,44430.547
103,PMB+F+G4,21574.381,119,43386.761,43409.628,44008.160
104,PMB+F+I+G4,21571.057,120,43382.113,43405.383,44008.734
105,HIVb,21734.918,99,43667.835,43683.438,44184.797
106,HIVb+I,21360.843,100,42921.686,42937.617,43443.870
107,HIVb+G4,21156.065,100,42512.130,42528.061,43034.314
108,HIVb+I+G4,21145.669,101,42493.338,42509.600,43020.743
109,HIVb+F,21298.303,118,42832.606,42855.074,43448.783
110,HIVb+F+I,20944.080,119,42126.160,42149.026,42747.558
111,HIVb+F+G4,20719.510,119,41677.020,41699.887,42298.419
112,HIVb+F+I+G4,20711.304,120,41662.608,41685.877,42289.228
113,HIVw,22546.140,99,45290.280,45305.883,45807.241
114,HIVw+I,22139.289,100,44478.578,44494.509,45000.762
115,HIVw+G4,21860.315,100,43920.630,43936.560,44442.813
116,HIVw+I+G4,21853.033,101,43908.066,43924.328,44435.472
117,HIVw+F,21984.553,118,44205.106,44227.573,44821.283
118,HIVw+F+I,21586.683,119,43411.366,43434.233,44032.765
119,HIVw+F+G4,21314.606,119,42867.213,42890.079,43488.611
120,HIVw+F+I+G4,21308.109,120,42856.219,42879.488,43482.839
121,JTTDCMut,21376.917,99,42951.834,42967.437,43468.796
122,JTTDCMut+I,21076.587,100,42353.173,42369.104,42875.357
123,JTTDCMut+G4,20902.383,100,42004.767,42020.698,42526.951
124,JTTDCMut+I+G4,20896.667,101,41995.334,42011.596,42522.740
125,JTTDCMut+F,21180.637,118,42597.275,42619.742,43213.451
126,JTTDCMut+F+I,20879.524,119,41997.048,42019.914,42618.446
127,JTTDCMut+F+G4,20694.695,119,41627.391,41650.257,42248.789
128,JTTDCMut+F+I+G4,20689.678,120,41619.357,41642.626,42245.977
129,FLU,21927.280,99,44052.560,44068.163,44569.522
130,FLU+I,21543.847,100,43287.694,43303.625,43809.878
131,FLU+G4,21266.880,100,42733.760,42749.690,43255.943
132,FLU+I+G4,21261.034,101,42724.068,42740.330,43251.474
133,FLU+F,21587.188,118,43410.375,43432.842,44026.552
134,FLU+F+I,21202.453,119,42642.907,42665.773,43264.305
135,FLU+F+G4,20930.182,119,42098.365,42121.231,42719.763
136,FLU+F+I+G4,20924.268,120,42088.537,42111.806,42715.157
137,Blosum62,22549.528,99,45297.057,45312.660,45814.018
138,Blosum62+I,22230.174,100,44660.348,44676.279,45182.532
139,Blosum62+G4,22019.228,100,44238.456,44254.387,44760.640
140,Blosum62+I+G4,22015.418,101,44232.836,44249.098,44760.241
141,Blosum62+F,22167.100,118,44570.201,44592.668,45186.377
142,Blosum62+F+I,21849.115,119,43936.231,43959.097,44557.629
143,Blosum62+F+G4,21626.220,119,43490.441,43513.307,44111.839
144,Blosum62+F+I+G4,21622.720,120,43485.440,43508.709,44112.060
145,mtMet,22046.610,99,44291.220,44306.823,44808.182
146,mtMet+I,21712.795,100,43625.590,43641.520,44147.773
147,mtMet+G4,21508.821,100,43217.642,43233.572,43739.825
148,mtMet+I+G4,21495.912,101,43193.823,43210.085,43721.229
149,mtMet+F,21243.558,118,42723.116,42745.583,43339.293
150,mtMet+F+I,20936.718,119,42111.436,42134.302,42732.834
151,mtMet+F+G4,20760.773,119,41759.547,41782.413,42380.945
152,mtMet+F+I+G4,20752.523,120,41745.046,41768.316,42371.667
153,mtVer,21981.905,99,44161.811,44177.413,44678.772
154,mtVer+I,21642.333,100,43484.667,43500.598,44006.851
155,mtVer+G4,21401.403,100,43002.806,43018.736,43524.989
156,mtVer+I+G4,21389.222,101,42980.444,42996.706,43507.850
157,mtVer+F,21399.290,118,43034.580,43057.047,43650.757
158,mtVer+F+I,21077.431,119,42392.863,42415.729,43014.261
159,mtVer+F+G4,20874.536,119,41987.073,42009.939,42608.471
160,mtVer+F+I+G4,20867.514,120,41975.028,41998.297,42601.648
161,mtInv,22513.075,99,45224.150,45239.753,45741.112
162,mtInv+I,22178.294,100,44556.588,44572.519,45078.771
163,mtInv+G4,21994.780,100,44189.560,44205.491,44711.744
164,mtInv+I+G4,21982.218,101,44166.435,44182.697,44693.841
165,mtInv+F,21432.820,118,43101.639,43124.106,43717.816
166,mtInv+F+I,21126.881,119,42491.763,42514.629,43113.161
167,mtInv+F+G4,20944.779,119,42127.558,42150.424,42748.957
168,mtInv+F+I+G4,20937.489,120,42114.977,42138.246,42741.597
