No.,Model,-LnL,df,AIC,AICc,BIC
95,DCMut+F+G4,13378.712,137,27031.424,27082.869,27685.179
96,DCMut+F+I+G4,13379.126,138,27034.253,27086.520,27692.780
97,PMB,14371.332,117,28976.665,29013.237,29534.981
98,PMB+I,14160.029,118,28556.057,28593.304,29119.146
99,PMB+G4,13886.163,118,28008.325,28045.572,28571.414
100,PMB+I+G4,13886.427,119,28010.853,28048.782,28578.714
101,PMB+F,14214.443,136,28700.886,28751.516,29349.869
102,PMB+F+I,13999.717,137,28273.435,28324.879,28927.190
103,PMB+F+G4,13720.199,137,27714.399,27765.844,28368.154
104,PMB+F+I+G4,13720.578,138,27717.156,27769.423,28375.683
105,HIVb,14331.819,117,28897.639,28934.211,29455.955
106,HIVb+I,14071.990,118,28379.979,28417.226,28943.068
107,HIVb+G4,13763.439,118,27762.879,27800.125,28325.967
108,HIVb+I+G4,13763.151,119,27764.303,27802.231,28332.163
109,HIVb+F,14056.042,136,28384.085,28434.715,29033.068
110,HIVb+F+I,13791.058,137,27856.116,27907.561,28509.871
111,HIVb+F+G4,13473.552,137,27221.103,27272.548,27874.859
112,HIVb+F+I+G4,13473.416,138,27222.832,27275.099,27881.359
113,HIVw,14864.454,117,29962.908,29999.480,30521.224
114,HIVw+I,14597.718,118,29431.436,29468.683,29994.525
115,HIVw+G4,14263.788,118,28763.576,28800.822,29326.664
116,HIVw+I+G4,14263.415,119,28764.829,28802.758,29332.690
117,HIVw+F,14474.353,136,29220.706,29271.336,29869.689
118,HIVw+F+I,14193.863,137,28661.726,28713.170,29315.481
119,HIVw+F+G4,13871.027,137,28016.054,28067.498,28669.809
120,HIVw+F+I+G4,13870.687,138,28017.374,28069.641,28675.901
121,JTTDCMut,13875.674,117,27985.349,28021.921,28543.665
122,JTTDCMut+I,13670.983,118,27577.966,27615.213,28141.054
123,JTTDCMut+G4,13406.783,118,27049.566,27086.813,27612.654
124,JTTDCMut+I+G4,13407.073,119,27052.146,27090.074,27620.006
125,JTTDCMut+F,13779.986,136,27831.972,27882.602,28480.955
126,JTTDCMut+F+I,13566.089,137,27406.178,27457.623,28059.933
127,JTTDCMut+F+G4,13298.676,137,26871.352,26922.797,27525.108
128,JTTDCMut+F+I+G4,13298.967,138,26873.934,26926.201,27532.461
129,FLU,14305.097,117,28844.194,28880.766,29402.511
130,FLU+I,14065.147,118,28366.293,28403.540,28929.381
131,FLU+G4,13729.887,118,27695.774,27733.020,28258.862
132,FLU+I+G4,13729.980,119,27697.960,27735.888,28265.820
133,FLU+F,14117.021,136,28506.043,28556.673,29155.026
134,FLU+F+I,13869.644,137,28013.288,28064.733,28667.043
135,FLU+F+G4,13536.800,137,27347.600,27399.045,28001.355
136,FLU+F+I+G4,13536.901,138,27349.802,27402.069,28008.329
137,Blosum62,14454.356,117,29142.712,29179.284,29701.028
138,Blosum62+I,14242.385,118,28720.770,28758.016,29283.858
139,Blosum62+G4,13968.176,118,28172.351,28209.598,28735.440
140,Blosum62+I+G4,13968.416,119,28174.833,28212.761,28742.693
141,Blosum62+F,14234.038,136,28740.075,28790.706,29389.059
142,Blosum62+F+I,14015.896,137,28305.792,28357.237,28959.547
143,Blosum62+F+G4,13734.594,137,27743.188,27794.633,28396.944
144,Blosum62+F+I+G4,13734.923,138,27745.846,27798.114,28404.374
145,mtMet,14360.598,117,28955.197,28991.769,29513.513
146,mtMet+I,14151.443,118,28538.885,28576.132,29101.974
147,mtMet+G4,13808.149,118,27852.297,27889.544,28415.386
148,mtMet+I+G4,13807.983,119,27853.966,27891.894,28421.827
149,mtMet+F,13854.881,136,27981.761,28032.391,28630.744
150,mtMet+F+I,13640.911,137,27555.822,27607.267,28209.577
151,mtMet+F+G4,13355.127,137,26984.253,27035.698,27638.008
152,mtMet+F+I+G4,13355.297,138,26986.593,27038.860,27645.120
153,mtVer,14390.686,117,29015.373,29051.945,29573.689
154,mtVer+I,14175.935,118,28587.871,28625.117,29150.959
155,mtVer+G4,13823.602,118,27883.205,27920.451,28446.293
156,mtVer+I+G4,13823.061,119,27884.122,27922.051,28451.983
157,mtVer+F,14029.807,136,28331.614,28382.245,28980.598
158,mtVer+F+I,13797.797,137,27869.594,27921.039,28523.350
159,mtVer+F+G4,13493.125,137,27260.250,27311.695,27914.006
160,mtVer+F+I+G4,13493.180,138,27262.361,27314.628,27920.888
161,mtInv,14561.600,117,29357.200,29393.772,29915.517
162,mtInv+I,14352.141,118,28940.281,28977.528,29503.370
163,mtInv+G4,14021.277,118,28278.553,28315.800,28841.641
164,mtInv+I+G4,14021.333,119,28280.666,28318.595,28848.527
165,mtInv+F,13868.586,136,28009.172,28059.802,28658.155
166,mtInv+F+I,13657.307,137,27588.615,27640.059,28242.370
167,mtInv+F+G4,13375.661,137,27025.321,27076.766,27679.076
168,mtInv+F+I+G4,13375.917,138,27027.835,27080.102,27686.362
