No.,Model,-LnL,df,AIC,AICc,BIC
65,mtZOA,18021.280,105,36252.560,36291.476,36727.071
66,mtZOA+I,17934.291,106,36080.582,36120.309,36559.612
67,mtZOA+G4,17563.442,106,35338.883,35378.610,35817.913
68,mtZOA+I+G4,17562.029,107,35338.058,35378.605,35821.606
69,mtZOA+F,17377.953,124,35003.906,35059.964,35564.281
70,mtZOA+F+I,17307.436,125,34864.871,34921.937,35429.765
71,mtZOA+F+G4,17036.759,125,34323.518,34380.583,34888.411
72,mtZOA+F+I+G4,17036.290,126,34324.581,34382.664,34893.993
73,VT,16829.006,105,33868.011,33906.927,34342.522
74,VT+I,16769.220,106,33750.440,33790.167,34229.470
75,VT+G4,16609.192,106,33430.385,33470.112,33909.414
76,VT+I+G4,16608.165,107,33430.329,33470.877,33913.878
77,VT+F,16878.102,124,34004.204,34060.262,34564.579
78,VT+F+I,16816.277,125,33882.554,33939.619,34447.447
79,VT+F+G4,16619.203,125,33488.405,33545.471,34053.299
80,VT+F+I+G4,16618.277,126,33488.554,33546.637,34057.966
81,LG,17021.030,105,34252.060,34290.976,34726.570
82,LG+I,16952.282,106,34116.564,34156.291,34595.594
83,LG+G4,16773.157,106,33758.314,33798.040,34237.343
84,LG+I+G4,16771.783,107,33757.566,33798.113,34241.115
85,LG+F,17041.742,124,34331.485,34387.543,34891.859
86,LG+F+I,16973.489,125,34196.978,34254.043,34761.871
87,LG+F+G4,16752.257,125,33754.514,33811.579,34319.407
88,LG+F+I+G4,16751.290,126,33754.580,33812.663,34323.992
89,DCMut,17129.015,105,34468.030,34506.946,34942.541
90,DCMut+I,17068.833,106,34349.667,34389.394,34828.697
91,DCMut+G4,16805.330,106,33822.660,33862.387,34301.690
92,DCMut+I+G4,16804.996,107,33823.992,33864.539,34307.540
93,DCMut+F,17174.118,124,34596.237,34652.295,35156.611
94,DCMut+F+I,17106.363,125,34462.725,34519.791,35027.619
95,DCMut+F+G4,16809.236,125,33868.471,33925.537,34433.365
96,DCMut+F+I+G4,16808.495,126,33868.990,33927.074,34438.403
97,PMB,17224.491,105,34658.982,34697.898,35133.492
98,PMB+I,17158.882,106,34529.764,34569.491,35008.793
99,PMB+G4,16985.464,106,34182.929,34222.655,34661.958
100,PMB+I+G4,16984.302,107,34182.605,34223.152,34666.153
101,PMB+F,17310.628,124,34869.257,34925.315,35429.631
102,PMB+F+I,17248.219,125,34746.438,34803.504,35311.332
103,PMB+F+G4,17028.180,125,34306.360,34363.425,34871.253
104,PMB+F+I+G4,17027.526,126,34307.052,34365.135,34876.464
105,HIVb,16308.894,105,32827.788,32866.704,33302.299
106,HIVb+I,16240.363,106,32692.727,32732.454,33171.756
107,HIVb+G4,16022.433,106,32256.866,32296.593,32735.896
108,HIVb+I+G4,16021.426,107,32256.853,32297.400,32740.402
109,HIVb+F,16318.005,124,32884.010,32940.068,33444.384
110,HIVb+F+I,16248.769,125,32747.538,32804.604,33312.432
111,HIVb+F+G4,15982.107,125,32214.214,32271.280,32779.108
112,HIVb+F+I+G4,15981.700,126,32215.400,32273.484,32784.813
113,HIVw,16567.857,105,33345.714,33384.630,33820.225
114,HIVw+I,16508.563,106,33229.125,33268.852,33708.155
115,HIVw+G4,16217.336,106,32646.672,32686.399,33125.702
116,HIVw+I+G4,16217.024,107,32648.047,32688.595,33131.596
117,HIVw+F,16536.899,124,33321.797,33377.855,33882.172
118,HIVw+F+I,16464.595,125,33179.190,33236.255,33744.084
119,HIVw+F+G4,16119.727,125,32489.454,32546.519,33054.347
120,HIVw+F+I+G4,16119.089,126,32490.179,32548.262,33059.591
121,JTTDCMut,16326.618,105,32863.236,32902.152,33337.746
122,JTTDCMut+I,16269.113,106,32750.226,32789.952,33229.255
123,JTTDCMut+G4,16106.900,106,32425.800,32465.527,32904.830
124,JTTDCMut+I+G4,16105.853,107,32425.707,32466.254,32909.255
125,JTTDCMut+F,16382.218,124,33012.436,33068.494,33572.810
126,JTTDCMut+F+I,16318.617,125,32887.235,32944.300,33452.128
127,JTTDCMut+F+G4,16121.936,125,32493.873,32550.938,33058.766
128,JTTDCMut+F+I+G4,16120.835,126,32493.670,32551.754,33063.083
129,FLU,16646.562,105,33503.124,33542.040,33977.634
130,FLU+I,16584.893,106,33381.786,33421.513,33860.815
131,FLU+G4,16319.027,106,32850.054,32889.781,33329.084
132,FLU+I+G4,16318.604,107,32851.208,32891.756,33334.757
133,FLU+F,16788.351,124,33824.702,33880.760,34385.077
134,FLU+F+I,16718.740,125,33687.480,33744.545,34252.373
135,FLU+F+G4,16368.391,125,32986.783,33043.848,33551.676
136,FLU+F+I+G4,16367.925,126,32987.849,33045.933,33557.262
137,Blosum62,17341.285,105,34892.569,34931.485,35367.080
138,Blosum62+I,17279.597,106,34771.194,34810.921,35250.224
139,Blosum62+G4,17092.353,106,34396.707,34436.433,34875.736
140,Blosum62+I+G4,17091.613,107,34397.226,34437.773,34880.775
141,Blosum62+F,17432.241,124,35112.483,35168.541,35672.857
142,Blosum62+F+I,17370.536,125,34991.072,35048.137,35555.965
143,Blosum62+F+G4,17132.768,125,34515.537,34572.602,35080.430
144,Blosum62+F+I+G4,17132.220,126,34516.440,34574.524,35085.853
145,mtMet,17390.080,105,34990.160,35029.076,35464.670
146,mtMet+I,17317.718,106,34847.436,34887.163,35326.466
147,mtMet+G4,17057.107,106,34326.213,34365.940,34805.243
148,mtMet+I+G4,17055.624,107,34325.248,34365.795,34808.796
149,mtMet+F,16638.574,124,33525.147,33581.205,34085.522
150,mtMet+F+I,16569.994,125,33389.989,33447.054,33954.882
151,mtMet+F+G4,16362.751,125,32975.502,33032.567,33540.395
152,mtMet+F+I+G4,16361.410,126,32974.820,33032.904,33544.233
153,mtVer,17362.528,105,34935.056,34973.972,35409.566
154,mtVer+I,17291.468,106,34794.937,34834.663,35273.966
155,mtVer+G4,16984.620,106,34181.241,34220.967,34660.270
156,mtVer+I+G4,16983.131,107,34180.262,34220.809,34663.810
157,mtVer+F,16625.089,124,33498.179,33554.237,34058.553
158,mtVer+F+I,16547.813,125,33345.626,33402.692,33910.520
159,mtVer+F+G4,16315.453,125,32880.905,32937.971,33445.799
160,mtVer+F+I+G4,16313.896,126,32879.792,32937.875,33449.204
161,mtInv,17712.018,105,35634.037,35672.953,36108.547
162,mtInv+I,17636.236,106,35484.473,35524.200,35963.503
163,mtInv+G4,17406.726,106,35025.451,35065.178,35504.481
164,mtInv+I+G4,17405.068,107,35024.137,35064.684,35507.685
165,mtInv+F,16871.041,124,33990.083,34046.140,34550.457
166,mtInv+F+I,16805.265,125,33860.531,33917.596,34425.424
167,mtInv+F+G4,16580.389,125,33410.778,33467.844,33975.672
168,mtInv+F+I+G4,16579.351,126,33410.702,33468.786,33980.115
