No.,Model,-LnL,df,AIC,AICc,BIC
54,rtREV+F+I,16518.050,125,33286.100,33356.570,33829.961
55,rtREV+F+G4,15998.138,125,32246.277,32316.746,32790.137
56,rtREV+F+I+G4,15993.828,126,32239.656,32311.414,32787.868
57,mtART,19194.402,105,38598.803,38646.469,39055.646
58,mtART+I,18682.228,106,37576.455,37625.133,38037.649
59,mtART+G4,17311.846,106,34835.692,34884.370,35296.886
60,mtART+I+G4,17296.829,107,34807.658,34857.361,35273.203
61,mtART+F,17985.157,124,36218.313,36287.510,36757.823
62,mtART+F+I,17520.905,125,35291.810,35362.280,35835.671
63,mtART+F+G4,16598.990,125,33447.980,33518.450,33991.841
64,mtART+F+I+G4,16590.039,126,33432.078,33503.836,33980.290
65,mtZOA,18293.391,105,36796.781,36844.447,37253.624
66,mtZOA+I,17846.105,106,35904.210,35952.888,36365.403
67,mtZOA+G4,16755.714,106,33723.428,33772.106,34184.622
68,mtZOA+I+G4,16748.437,107,33710.874,33760.577,34176.418
69,mtZOA+F,17367.671,124,34983.343,35052.539,35522.853
70,mtZOA+F+I,16954.869,125,34159.738,34230.208,34703.599
71,mtZOA+F+G4,16244.761,125,32739.523,32809.993,33283.384
72,mtZOA+F+I+G4,16238.646,126,32729.292,32801.050,33277.504
73,VT,16757.513,105,33725.025,33772.691,34181.868
74,VT+I,16392.020,106,32996.040,33044.719,33457.234
75,VT+G4,15946.131,106,32104.262,32152.940,32565.456
76,VT+I+G4,15941.684,107,32097.367,32147.070,32562.912
77,VT+F,16707.543,124,33663.087,33732.283,34202.597
78,VT+F+I,16348.048,125,32946.095,33016.565,33489.956
79,VT+F+G4,15911.342,125,32072.684,32143.154,32616.545
80,VT+F+I+G4,15907.002,126,32066.005,32137.763,32614.217
81,LG,16833.965,105,33877.930,33925.596,34334.773
82,LG+I,16450.231,106,33112.461,33161.139,33573.655
83,LG+G4,15919.264,106,32050.527,32099.205,32511.721
84,LG+I+G4,15914.916,107,32043.832,32093.535,32509.376
85,LG+F,16749.772,124,33747.544,33816.740,34287.053
86,LG+F+I,16374.245,125,32998.490,33068.960,33542.351
87,LG+F+G4,15862.800,125,31975.600,32046.070,32519.461
88,LG+F+I+G4,15858.578,126,31969.155,32040.913,32517.367
89,DCMut,16956.459,105,34122.918,34170.584,34579.761
90,DCMut+I,16578.046,106,33368.092,33416.770,33829.286
91,DCMut+G4,16113.959,106,32439.918,32488.597,32901.112
92,DCMut+I+G4,16107.013,107,32428.026,32477.729,32893.571
93,DCMut+F,16982.952,124,34213.905,34283.101,34753.414
94,DCMut+F+I,16607.536,125,33465.071,33535.541,34008.932
95,DCMut+F+G4,16116.157,125,32482.314,32552.784,33026.175
96,DCMut+F+I+G4,16110.060,126,32472.120,32543.878,33020.332
97,PMB,16979.707,105,34169.414,34217.080,34626.257
98,PMB+I,16616.328,106,33444.655,33493.333,33905.849
99,PMB+G4,16134.159,106,32480.318,32528.996,32941.512
100,PMB+I+G4,16130.267,107,32474.534,32524.238,32940.079
101,PMB+F,16952.207,124,34152.414,34221.610,34691.924
102,PMB+F+I,16595.959,125,33441.917,33512.387,33985.778
103,PMB+F+G4,16134.826,125,32519.653,32590.123,33063.514
104,PMB+F+I+G4,16130.712,126,32513.424,32585.182,33061.635
105,HIVb,17218.961,105,34647.921,34695.587,35104.764
106,HIVb+I,16770.405,106,33752.811,33801.489,34214.005
107,HIVb+G4,16184.079,106,32580.159,32628.837,33041.353
108,HIVb+I+G4,16171.514,107,32557.029,32606.732,33022.574
109,HIVb+F,17133.247,124,34514.494,34583.690,35054.004
110,HIVb+F+I,16685.849,125,33621.698,33692.168,34165.559
111,HIVb+F+G4,16120.418,125,32490.835,32561.305,33034.696
112,HIVb+F+I+G4,16108.500,126,32469.000,32540.758,33017.211
113,HIVw,17739.932,105,35689.864,35737.530,36146.707
114,HIVw+I,17320.751,106,34853.501,34902.180,35314.695
115,HIVw+G4,16738.862,106,33689.723,33738.402,34150.917
116,HIVw+I+G4,16727.914,107,33669.828,33719.531,34135.373
117,HIVw+F,17487.412,124,35222.824,35292.021,35762.334
118,HIVw+F+I,17057.582,125,34365.164,34435.633,34909.024
119,HIVw+F+G4,16485.157,125,33220.313,33290.783,33764.174
120,HIVw+F+I+G4,16473.835,126,33199.670,33271.428,33747.882
121,JTTDCMut,16657.962,105,33525.923,33573.589,33982.766
122,JTTDCMut+I,16284.127,106,32780.255,32828.933,33241.448
123,JTTDCMut+G4,15811.044,106,31834.087,31882.765,32295.281
124,JTTDCMut+I+G4,15805.272,107,31824.544,31874.247,32290.089
125,JTTDCMut+F,16624.081,124,33496.163,33565.359,34035.672
126,JTTDCMut+F+I,16254.657,125,32759.314,32829.783,33303.174
127,JTTDCMut+F+G4,15789.552,125,31829.104,31899.574,32372.965
128,JTTDCMut+F+I+G4,15783.883,126,31819.766,31891.524,32367.978
129,FLU,17270.678,105,34751.357,34799.022,35208.200
130,FLU+I,16895.194,106,34002.387,34051.065,34463.581
131,FLU+G4,16275.019,106,32762.039,32810.717,33223.233
132,FLU+I+G4,16270.904,107,32755.807,32805.510,33221.352
133,FLU+F,17132.191,124,34512.382,34581.579,35051.892
134,FLU+F+I,16762.124,125,33774.247,33844.717,34318.108
135,FLU+F+G4,16137.813,125,32525.625,32596.095,33069.486
136,FLU+F+I+G4,16134.380,126,32520.759,32592.517,33068.971
137,Blosum62,16986.605,105,34183.211,34230.877,34640.054
138,Blosum62+I,16628.543,106,33469.086,33517.765,33930.280
139,Blosum62+G4,16146.088,106,32504.176,32552.854,32965.370
140,Blosum62+I+G4,16142.332,107,32498.664,32548.367,32964.209
141,Blosum62+F,16926.814,124,34101.628,34170.825,34641.138
142,Blosum62+F+I,16575.479,125,33400.958,33471.428,33944.819
143,Blosum62+F+G4,16118.604,125,32487.209,32557.678,33031.069
144,Blosum62+F+I+G4,16114.674,126,32481.348,32553.106,33029.560
145,mtMet,18200.560,105,36611.120,36658.786,37067.963
146,mtMet+I,17779.439,106,35770.879,35819.557,36232.073
147,mtMet+G4,16832.343,106,33876.685,33925.364,34337.879
148,mtMet+I+G4,16828.926,107,33871.853,33921.556,34337.398
149,mtMet+F,17084.227,124,34416.454,34485.650,34955.964
150,mtMet+F+I,16684.040,125,33618.080,33688.550,34161.941
151,mtMet+F+G4,16042.626,125,32335.251,32405.721,32879.112
152,mtMet+F+I+G4,16037.055,126,32326.111,32397.869,32874.322
153,mtVer,18322.145,105,36854.290,36901.956,37311.133
154,mtVer+I,17891.812,106,35995.624,36044.302,36456.818
155,mtVer+G4,16834.282,106,33880.565,33929.243,34341.759
156,mtVer+I+G4,16830.158,107,33874.316,33924.019,34339.860
157,mtVer+F,17258.105,124,34764.210,34833.406,35303.719
158,mtVer+F+I,16830.767,125,33911.534,33982.004,34455.395
159,mtVer+F+G4,16146.342,125,32542.683,32613.153,33086.544
160,mtVer+F+I+G4,16139.422,126,32530.845,32602.602,33079.056
161,mtInv,18271.763,105,36753.525,36801.191,37210.368
162,mtInv+I,17846.265,106,35904.530,35953.208,36365.724
163,mtInv+G4,16998.998,106,34209.996,34258.674,34671.190
164,mtInv+I+G4,16995.433,107,34204.867,34254.570,34670.411
165,mtInv+F,17015.823,124,34279.645,34348.842,34819.155
166,mtInv+F+I,16618.824,125,33487.648,33558.118,34031.509
167,mtInv+F+G4,16045.264,125,32340.528,32410.997,32884.388
168,mtInv+F+I+G4,16039.038,126,32330.076,32401.834,32878.288
