No.,Model,-LnL,df,AIC,AICc,BIC
144,Blosum62+F+I+G4,8964.197,120,18168.393,18286.442,18637.036
145,mtMet,9839.471,99,19876.942,19951.099,20263.573
146,mtMet+I,9641.524,100,19483.048,19558.988,19873.585
147,mtMet+G4,9236.833,100,18673.666,18749.606,19064.202
148,mtMet+I+G4,9234.703,101,18671.407,18749.158,19065.848
149,mtMet+F,9327.348,118,18890.696,19003.938,19351.529
150,mtMet+F+I,9139.092,119,18516.185,18631.812,18980.923
151,mtMet+F+G4,8840.474,119,17918.949,18034.576,18383.687
152,mtMet+F+I+G4,8837.727,120,17915.455,18033.503,18384.098
153,mtVer,9912.492,99,20022.983,20097.140,20409.614
154,mtVer+I,9714.107,100,19628.213,19704.153,20018.749
155,mtVer+G4,9241.817,100,18683.634,18759.573,19074.170
156,mtVer+I+G4,9239.629,101,18681.258,18759.009,19075.699
157,mtVer+F,9436.728,118,19109.457,19222.698,19570.289
158,mtVer+F+I,9227.494,119,18692.987,18808.615,19157.725
159,mtVer+F+G4,8911.348,119,18060.697,18176.324,18525.435
160,mtVer+F+I+G4,8907.727,120,18055.454,18173.503,18524.098
161,mtInv,9893.437,99,19984.874,20059.031,20371.505
162,mtInv+I,9691.147,100,19582.294,19658.234,19972.830
163,mtInv+G4,9338.775,100,18877.550,18953.490,19268.087
164,mtInv+I+G4,9335.947,101,18873.894,18951.645,19268.336
165,mtInv+F,9268.163,118,18772.325,18885.567,19233.158
166,mtInv+F+I,9082.838,119,18403.676,18519.304,18868.414
167,mtInv+F+G4,8825.930,119,17889.859,18005.487,18354.597
168,mtInv+F+I+G4,8822.283,120,17884.567,18002.615,18353.210
