No.,Model,-LnL,df,AIC,AICc,BIC
147,mtMet+G4,13093.134,98,26382.268,26414.716,26827.853
148,mtMet+I+G4,13093.967,99,26385.933,26419.099,26836.065
149,mtMet+F,13052.136,116,26336.271,26383.071,26863.698
150,mtMet+F+I,12802.864,117,25839.729,25887.418,26371.703
151,mtMet+F+G4,12474.489,117,25182.978,25230.667,25714.952
152,mtMet+F+I+G4,12472.536,118,25181.073,25229.661,25717.594
153,mtVer,13893.687,97,27981.374,28013.114,28422.412
154,mtVer+I,13590.505,98,27377.010,27409.458,27822.595
155,mtVer+G4,13100.793,98,26397.586,26430.034,26843.171
156,mtVer+I+G4,13101.697,99,26401.394,26434.559,26851.525
157,mtVer+F,13192.761,116,26617.523,26664.323,27144.950
158,mtVer+F+I,12926.276,117,26086.553,26134.242,26618.526
159,mtVer+F+G4,12579.461,117,25392.921,25440.611,25924.895
160,mtVer+F+I+G4,12577.707,118,25391.414,25440.003,25927.935
161,mtInv,13958.580,97,28111.160,28142.900,28552.198
162,mtInv+I,13670.092,98,27536.184,27568.632,27981.769
163,mtInv+G4,13258.875,98,26713.750,26746.198,27159.335
164,mtInv+I+G4,13258.660,99,26715.320,26748.485,27165.451
165,mtInv+F,13009.969,116,26251.938,26298.738,26779.365
166,mtInv+F+I,12766.297,117,25766.593,25814.282,26298.567
167,mtInv+F+G4,12469.841,117,25173.683,25221.372,25705.657
168,mtInv+F+I+G4,12467.975,118,25171.950,25220.538,25708.470
