No.,Model,-LnL,df,AIC,AICc,BIC
43,mtREV+G4,16098.410,112,32420.819,32452.499,32960.171
44,mtREV+I+G4,16097.162,113,32420.324,32452.610,32964.491
45,mtREV+F,16675.042,130,33610.083,33653.694,34236.116
46,mtREV+F+I,16264.851,131,32791.701,32836.040,33422.550
47,mtREV+F+G4,15710.714,131,31683.427,31727.766,32314.276
48,mtREV+F+I+G4,15710.323,132,31684.646,31729.719,32320.311
49,rtREV,16835.667,111,33893.334,33924.414,34427.870
50,rtREV+I,16402.602,112,33029.203,33060.883,33568.555
51,rtREV+G4,15903.304,112,32030.607,32062.287,32569.959
52,rtREV+I+G4,15902.811,113,32031.622,32063.907,32575.789
53,rtREV+F,16709.119,130,33678.238,33721.848,34304.271
54,rtREV+F+I,16281.855,131,32825.709,32870.048,33456.558
55,rtREV+F+G4,15780.528,131,31823.055,31867.394,32453.904
56,rtREV+F+I+G4,15780.254,132,31824.509,31869.582,32460.173
57,mtART,17781.342,111,35784.683,35815.763,36319.219
58,mtART+I,17173.112,112,34570.224,34601.904,35109.576
59,mtART+G4,16416.897,112,33057.794,33089.474,33597.146
60,mtART+I+G4,16411.360,113,33048.720,33081.006,33592.887
61,mtART+F,17157.817,130,34575.634,34619.244,35201.667
62,mtART+F+I,16648.918,131,33559.835,33604.174,34190.684
63,mtART+F+G4,15992.264,131,32246.529,32290.867,32877.378
64,mtART+F+I+G4,15990.418,132,32244.835,32289.908,32880.500
65,mtZOA,17285.794,111,34793.589,34824.669,35328.125
66,mtZOA+I,16749.231,112,33722.462,33754.142,34261.814
67,mtZOA+G4,16100.669,112,32425.338,32457.018,32964.690
68,mtZOA+I+G4,16097.871,113,32421.741,32454.027,32965.908
69,mtZOA+F,16844.308,130,33948.616,33992.227,34574.649
70,mtZOA+F+I,16379.069,131,33020.139,33064.477,33650.987
71,mtZOA+F+G4,15810.157,131,31882.314,31926.652,32513.163
72,mtZOA+F+I+G4,15808.750,132,31881.499,31926.573,32517.164
73,VT,16493.587,111,33209.175,33240.255,33743.711
74,VT+I,16090.150,112,32404.300,32435.979,32943.651
75,VT+G4,15656.757,112,31537.515,31569.194,32076.867
76,VT+I+G4,15656.782,113,31539.565,31571.850,32083.732
77,VT+F,16463.879,130,33187.758,33231.368,33813.791
78,VT+F+I,16062.701,131,32387.402,32431.741,33018.251
79,VT+F+G4,15625.836,131,31513.673,31558.011,32144.522
80,VT+F+I+G4,15626.010,132,31516.020,31561.093,32151.685
81,LG,16722.847,111,33667.695,33698.775,34202.231
82,LG+I,16287.242,112,32798.484,32830.164,33337.836
83,LG+G4,15785.636,112,31795.272,31826.952,32334.624
84,LG+I+G4,15785.049,113,31796.098,31828.383,32340.265
85,LG+F,16638.363,130,33536.727,33580.338,34162.760
86,LG+F+I,16209.503,131,32681.006,32725.344,33311.855
87,LG+F+G4,15710.901,131,31683.803,31728.141,32314.652
88,LG+F+I+G4,15710.510,132,31685.019,31730.092,32320.684
89,DCMut,16616.838,111,33455.677,33486.757,33990.213
90,DCMut+I,16225.624,112,32675.249,32706.928,33214.600
91,DCMut+G4,15768.853,112,31761.706,31793.386,32301.058
92,DCMut+I+G4,15767.260,113,31760.520,31792.806,32304.688
93,DCMut+F,16580.639,130,33421.278,33464.889,34047.311
94,DCMut+F+I,16176.289,131,32614.577,32658.916,33245.426
95,DCMut+F+G4,15709.728,131,31681.457,31725.795,32312.306
96,DCMut+F+I+G4,15708.482,132,31680.963,31726.036,32316.628
97,PMB,16743.189,111,33708.379,33739.459,34242.915
98,PMB+I,16323.412,112,32870.824,32902.504,33410.176
99,PMB+G4,15876.770,112,31977.541,32009.221,32516.893
100,PMB+I+G4,15877.087,113,31980.174,32012.460,32524.342
101,PMB+F,16705.405,130,33670.810,33714.421,34296.844
102,PMB+F+I,16291.760,131,32845.520,32889.858,33476.368
103,PMB+F+G4,15837.940,131,31937.880,31982.218,32568.728
104,PMB+F+I+G4,15838.483,132,31940.966,31986.039,32576.631
105,HIVb,16873.532,111,33969.064,34000.144,34503.600
106,HIVb+I,16377.700,112,32979.399,33011.079,33518.751
107,HIVb+G4,15797.530,112,31819.059,31850.739,32358.411
108,HIVb+I+G4,15794.583,113,31815.167,31847.453,32359.334
109,HIVb+F,16771.059,130,33802.119,33845.730,34428.152
110,HIVb+F+I,16281.281,131,32824.562,32868.901,33455.411
111,HIVb+F+G4,15693.284,131,31648.567,31692.906,32279.416
112,HIVb+F+I+G4,15690.663,132,31645.325,31690.399,32280.990
113,HIVw,17305.426,111,34832.852,34863.932,35367.388
114,HIVw+I,16782.651,112,33789.302,33820.981,34328.653
115,HIVw+G4,16192.437,112,32608.874,32640.553,33148.225
116,HIVw+I+G4,16190.744,113,32607.489,32639.775,33151.656
117,HIVw+F,17065.819,130,34391.638,34435.249,35017.672
118,HIVw+F+I,16544.110,131,33350.221,33394.559,33981.070
119,HIVw+F+G4,15976.861,131,32215.722,32260.060,32846.570
120,HIVw+F+I+G4,15974.420,132,32212.840,32257.913,32848.504
121,JTTDCMut,16313.743,111,32849.487,32880.567,33384.023
122,JTTDCMut+I,15905.351,112,32034.703,32066.383,32574.055
123,JTTDCMut+G4,15459.669,112,31143.339,31175.019,31682.691
124,JTTDCMut+I+G4,15458.775,113,31143.550,31175.836,31687.717
125,JTTDCMut+F,16300.625,130,32861.249,32904.860,33487.283
126,JTTDCMut+F+I,15889.684,131,32041.367,32085.706,32672.216
127,JTTDCMut+F+G4,15438.616,131,31139.233,31183.571,31770.081
128,JTTDCMut+F+I+G4,15437.789,132,31139.578,31184.651,31775.243
129,FLU,16854.815,111,33931.630,33962.710,34466.166
130,FLU+I,16369.897,112,32963.794,32995.474,33503.146
131,FLU+G4,15772.903,112,31769.805,31801.485,32309.157
132,FLU+I+G4,15772.682,113,31771.364,31803.650,32315.531
133,FLU+F,16827.685,130,33915.371,33958.981,34541.404
134,FLU+F+I,16341.540,131,32945.080,32989.419,33575.929
135,FLU+F+G4,15731.731,131,31725.462,31769.800,32356.310
136,FLU+F+I+G4,15731.555,132,31727.110,31772.183,32362.775
137,Blosum62,16811.119,111,33844.238,33875.318,34378.774
138,Blosum62+I,16397.562,112,33019.125,33050.804,33558.476
139,Blosum62+G4,15948.738,112,32121.475,32153.155,32660.827
140,Blosum62+I+G4,15948.860,113,32123.720,32156.006,32667.888
141,Blosum62+F,16726.060,130,33712.121,33755.732,34338.154
142,Blosum62+F+I,16321.704,131,32905.409,32949.747,33536.258
143,Blosum62+F+G4,15866.919,131,31995.838,32040.176,32626.686
144,Blosum62+F+I+G4,15867.301,132,31998.603,32043.676,32634.267
145,mtMet,17123.914,111,34469.828,34500.908,35004.364
146,mtMet+I,16613.877,112,33451.754,33483.434,33991.106
147,mtMet+G4,16038.416,112,32300.832,32332.512,32840.184
148,mtMet+I+G4,16035.980,113,32297.959,32330.245,32842.126
149,mtMet+F,16532.120,130,33324.240,33367.851,33950.273
150,mtMet+F+I,16086.055,131,32434.109,32478.448,33064.958
151,mtMet+F+G4,15565.579,131,31393.159,31437.497,32024.007
152,mtMet+F+I+G4,15563.972,132,31391.945,31437.018,32027.609
153,mtVer,17237.614,111,34697.227,34728.307,35231.763
154,mtVer+I,16714.467,112,33652.934,33684.613,34192.286
155,mtVer+G4,16081.022,112,32386.044,32417.723,32925.396
156,mtVer+I+G4,16078.235,113,32382.470,32414.755,32926.637
157,mtVer+F,16744.958,130,33749.916,33793.526,34375.949
158,mtVer+F+I,16275.044,131,32812.088,32856.427,33442.937
159,mtVer+F+G4,15691.326,131,31644.652,31688.991,32275.501
160,mtVer+F+I+G4,15689.761,132,31643.521,31688.594,32279.186
161,mtInv,17286.971,111,34795.942,34827.022,35330.478
162,mtInv+I,16786.070,112,33796.141,33827.821,34335.493
163,mtInv+G4,16252.443,112,32728.886,32760.566,33268.238
164,mtInv+I+G4,16250.341,113,32726.682,32758.968,33270.849
165,mtInv+F,16512.327,130,33284.654,33328.265,33910.687
166,mtInv+F+I,16083.968,131,32429.937,32474.275,33060.786
167,mtInv+F+G4,15600.009,131,31462.019,31506.357,32092.868
168,mtInv+F+I+G4,15598.794,132,31461.587,31506.660,32097.252
