No.,Model,-LnL,df,AIC,AICc,BIC
72,mtZOA+F+I+G4,41136.474,134,82540.949,82546.817,83445.221
73,VT,40640.672,113,81507.344,81511.509,82269.902
74,VT+I,40635.193,114,81498.386,81502.625,82267.693
75,VT+G4,40510.690,114,81249.379,81253.618,82018.686
76,VT+I+G4,40510.205,115,81250.411,81254.725,82026.466
77,VT+F,40143.240,132,80550.481,80556.174,81441.257
78,VT+F+I,40139.496,133,80544.992,80550.773,81442.517
79,VT+F+G4,40009.987,133,80285.973,80291.754,81183.498
80,VT+F+I+G4,40010.063,134,80288.127,80293.996,81192.400
81,LG,41215.441,113,82656.883,82661.048,83419.441
82,LG+I,41205.178,114,82638.357,82642.596,83407.663
83,LG+G4,41004.973,114,82237.946,82242.186,83007.253
84,LG+I+G4,41003.302,115,82236.605,82240.919,83012.660
85,LG+F,40669.357,132,81602.714,81608.408,82493.490
86,LG+F+I,40662.188,133,81590.376,81596.157,82487.901
87,LG+F+G4,40458.826,133,81183.653,81189.433,82081.177
88,LG+F+I+G4,40458.168,134,81184.337,81190.205,82088.610
89,DCMut,41571.150,113,83368.300,83372.465,84130.859
90,DCMut+I,41562.463,114,83352.927,83357.166,84122.234
91,DCMut+G4,41269.864,114,82767.728,82771.967,83537.035
92,DCMut+I+G4,41269.781,115,82769.562,82773.876,83545.617
93,DCMut+F,41083.866,132,82431.732,82437.426,83322.508
94,DCMut+F+I,41077.763,133,82421.526,82427.307,83319.050
95,DCMut+F+G4,40754.906,133,81775.812,81781.593,82673.337
96,DCMut+F+I+G4,40755.166,134,81778.333,81784.201,82682.606
97,PMB,41040.037,113,82306.075,82310.240,83068.633
98,PMB+I,41033.033,114,82294.067,82298.306,83063.373
99,PMB+G4,40889.947,114,82007.894,82012.133,82777.201
100,PMB+I+G4,40888.840,115,82007.680,82011.994,82783.735
101,PMB+F,40509.831,132,81283.663,81289.356,82174.439
102,PMB+F+I,40504.658,133,81275.317,81281.098,82172.841
103,PMB+F+G4,40352.584,133,80971.168,80976.948,81868.692
104,PMB+F+I+G4,40352.205,134,80972.409,80978.278,81876.682
105,HIVb,41020.611,113,82267.222,82271.387,83029.781
106,HIVb+I,41010.496,114,82248.992,82253.232,83018.299
107,HIVb+G4,40748.419,114,81724.839,81729.078,82494.145
108,HIVb+I+G4,40747.832,115,81725.665,81729.979,82501.720
109,HIVb+F,40329.260,132,80922.520,80928.214,81813.297
110,HIVb+F+I,40322.057,133,80910.113,80915.894,81807.638
111,HIVb+F+G4,40077.082,133,80420.163,80425.944,81317.688
112,HIVb+F+I+G4,40077.122,134,80422.243,80428.112,81326.516
113,HIVw,42294.289,113,84814.577,84818.742,85577.136
114,HIVw+I,42282.625,114,84793.249,84797.489,85562.556
115,HIVw+G4,41906.110,114,84040.220,84044.460,84809.527
116,HIVw+I+G4,41905.850,115,84041.700,84046.014,84817.755
117,HIVw+F,40562.296,132,81388.591,81394.285,82279.367
118,HIVw+F+I,40550.418,133,81366.836,81372.617,82264.361
119,HIVw+F+G4,40246.405,133,80758.810,80764.590,81656.334
120,HIVw+F+I+G4,40245.776,134,80759.551,80765.420,81663.824
121,JTTDCMut,40440.467,113,81106.935,81111.100,81869.493
122,JTTDCMut+I,40434.043,114,81096.086,81100.325,81865.393
123,JTTDCMut+G4,40272.196,114,80772.392,80776.631,81541.698
124,JTTDCMut+I+G4,40271.926,115,80773.852,80778.166,81549.907
125,JTTDCMut+F,39973.491,132,80210.983,80216.676,81101.759
126,JTTDCMut+F+I,39969.202,133,80204.404,80210.185,81101.929
127,JTTDCMut+F+G4,39809.159,133,79884.319,79890.099,80781.843
128,JTTDCMut+F+I+G4,39809.306,134,79886.613,79892.482,80790.886
129,FLU,41596.806,113,83419.612,83423.777,84182.170
130,FLU+I,41583.054,114,83394.108,83398.347,84163.415
131,FLU+G4,41289.982,114,82807.964,82812.203,83577.270
132,FLU+I+G4,41287.272,115,82804.545,82808.859,83580.600
133,FLU+F,40648.912,132,81561.823,81567.517,82452.600
134,FLU+F+I,40637.229,133,81540.458,81546.239,82437.983
135,FLU+F+G4,40365.814,133,80997.628,81003.409,81895.153
136,FLU+F+I+G4,40364.119,134,80996.238,81002.106,81900.511
137,Blosum62,41280.082,113,82786.164,82790.329,83548.723
138,Blosum62+I,41272.073,114,82772.147,82776.386,83541.454
139,Blosum62+G4,41113.397,114,82454.794,82459.033,83224.101
140,Blosum62+I+G4,41112.111,115,82454.222,82458.536,83230.277
141,Blosum62+F,40659.895,132,81583.790,81589.484,82474.567
142,Blosum62+F+I,40653.803,133,81573.607,81579.387,82471.131
143,Blosum62+F+G4,40482.498,133,81230.995,81236.776,82128.520
144,Blosum62+F+I+G4,40481.989,134,81231.978,81237.846,82136.250
145,mtMet,43924.899,113,88075.798,88079.963,88838.357
146,mtMet+I,43908.634,114,88045.267,88049.506,88814.574
147,mtMet+G4,43554.544,114,87337.088,87341.327,88106.395
148,mtMet+I+G4,43551.830,115,87333.660,87337.974,88109.715
149,mtMet+F,40565.236,132,81394.472,81400.165,82285.248
150,mtMet+F+I,40555.735,133,81377.470,81383.251,82274.995
151,mtMet+F+G4,40311.552,133,80889.105,80894.886,81786.629
152,mtMet+F+I+G4,40310.831,134,80889.662,80895.531,81793.935
153,mtVer,44080.108,113,88386.217,88390.382,89148.775
154,mtVer+I,44060.397,114,88348.793,88353.032,89118.100
155,mtVer+G4,43648.486,114,87524.972,87529.212,88294.279
156,mtVer+I+G4,43645.120,115,87520.241,87524.555,88296.296
157,mtVer+F,40648.016,132,81560.033,81565.726,82450.809
158,mtVer+F+I,40639.124,133,81544.247,81550.028,82441.772
159,mtVer+F+G4,40377.485,133,81020.969,81026.750,81918.494
160,mtVer+F+I+G4,40377.031,134,81022.062,81027.931,81926.335
161,mtInv,44424.381,113,89074.762,89078.927,89837.321
162,mtInv+I,44409.677,114,89047.353,89051.592,89816.660
163,mtInv+G4,44108.323,114,88444.645,88448.884,89213.952
164,mtInv+I+G4,44105.995,115,88441.989,88446.304,89218.044
165,mtInv+F,40695.077,132,81654.154,81659.847,82544.930
166,mtInv+F+I,40686.168,133,81638.337,81644.117,82535.861
167,mtInv+F+G4,40441.674,133,81149.347,81155.128,82046.872
168,mtInv+F+I+G4,40441.310,134,81150.620,81156.488,82054.892
