No.,Model,-LnL,df,AIC,AICc,BIC
100,PMB+I+G4,29866.150,103,59938.300,59964.269,60436.213
101,PMB+F,31234.129,120,62708.258,62744.198,63288.351
102,PMB+F+I,30711.842,121,61665.684,61702.269,62250.611
103,PMB+F+G4,29843.260,121,59928.521,59965.105,60513.448
104,PMB+F+I+G4,29819.641,122,59883.282,59920.518,60473.043
105,HIVb,31148.150,101,62498.300,62523.214,62986.545
106,HIVb+I,30524.235,102,61252.471,61277.909,61745.550
107,HIVb+G4,29345.304,102,58894.609,58920.047,59387.688
108,HIVb+I+G4,29316.448,103,58838.896,58864.865,59336.809
109,HIVb+F,30907.644,120,62055.288,62091.229,62635.381
110,HIVb+F+I,30270.678,121,60783.357,60819.941,61368.284
111,HIVb+F+G4,29101.381,121,58444.761,58481.346,59029.688
112,HIVb+F+I+G4,29074.605,122,58393.210,58430.446,58982.972
113,HIVw,31985.859,101,64173.717,64198.631,64661.962
114,HIVw+I,31424.802,102,63053.604,63079.042,63546.683
115,HIVw+G4,30241.904,102,60687.808,60713.246,61180.887
116,HIVw+I+G4,30220.221,103,60646.442,60672.411,61144.355
117,HIVw+F,31432.938,120,63105.875,63141.816,63685.969
118,HIVw+F+I,30844.577,121,61931.154,61967.739,62516.081
119,HIVw+F+G4,29688.448,121,59618.896,59655.481,60203.823
120,HIVw+F+I+G4,29666.009,122,59576.018,59613.254,60165.780
121,JTTDCMut,30564.937,101,61331.874,61356.788,61820.119
122,JTTDCMut+I,30010.118,102,60224.236,60249.674,60717.315
123,JTTDCMut+G4,29059.794,102,58323.588,58349.026,58816.667
124,JTTDCMut+I+G4,29037.191,103,58280.381,58306.350,58778.294
125,JTTDCMut+F,30498.088,120,61236.176,61272.117,61816.269
126,JTTDCMut+F+I,29940.907,121,60123.814,60160.399,60708.742
127,JTTDCMut+F+G4,29007.618,121,58257.235,58293.820,58842.162
128,JTTDCMut+F+I+G4,28986.036,122,58216.073,58253.308,58805.834
129,FLU,31244.577,101,62691.153,62716.067,63179.398
130,FLU+I,30742.822,102,61689.644,61715.082,62182.723
131,FLU+G4,29585.274,102,59374.547,59399.986,59867.627
132,FLU+I+G4,29562.323,103,59330.645,59356.614,59828.558
133,FLU+F,30929.916,120,62099.831,62135.772,62679.924
134,FLU+F+I,30429.916,121,61101.831,61138.416,61686.759
135,FLU+F+G4,29286.945,121,58815.890,58852.475,59400.817
136,FLU+F+I+G4,29264.972,122,58773.944,58811.180,59363.705
137,Blosum62,31414.459,101,63030.918,63055.832,63519.163
138,Blosum62+I,30881.056,102,61966.111,61991.549,62459.190
139,Blosum62+G4,29969.865,102,60143.729,60169.168,60636.809
140,Blosum62+I+G4,29947.635,103,60101.270,60127.238,60599.183
141,Blosum62+F,31333.291,120,62906.581,62942.522,63486.674
142,Blosum62+F+I,30817.218,121,61876.435,61913.020,62461.362
143,Blosum62+F+G4,29929.837,121,60101.675,60138.260,60686.602
144,Blosum62+F+I+G4,29908.424,122,60060.848,60098.084,60650.610
145,mtMet,32957.815,101,66117.630,66142.544,66605.875
146,mtMet+I,32292.643,102,64789.286,64814.724,65282.365
147,mtMet+G4,30720.322,102,61644.645,61670.083,62137.724
148,mtMet+I+G4,30703.269,103,61612.538,61638.506,62110.451
149,mtMet+F,31242.274,120,62724.548,62760.489,63304.642
150,mtMet+F+I,30620.789,121,61483.578,61520.163,62068.506
151,mtMet+F+G4,29423.900,121,59089.800,59126.385,59674.727
152,mtMet+F+I+G4,29402.883,122,59049.766,59087.002,59639.527
153,mtVer,33228.873,101,66659.747,66684.661,67147.992
154,mtVer+I,32562.427,102,65328.854,65354.292,65821.933
155,mtVer+G4,30769.830,102,61743.659,61769.097,62236.738
156,mtVer+I+G4,30751.233,103,61708.465,61734.434,62206.379
157,mtVer+F,31567.649,120,63375.298,63411.238,63955.391
158,mtVer+F+I,30881.825,121,62005.651,62042.235,62590.578
159,mtVer+F+G4,29559.225,121,59360.450,59397.035,59945.377
160,mtVer+F+I+G4,29534.934,122,59313.867,59351.103,59903.629
161,mtInv,33174.146,101,66550.291,66575.206,67038.536
162,mtInv+I,32497.534,102,65199.068,65224.506,65692.147
163,mtInv+G4,31087.269,102,62378.539,62403.977,62871.618
164,mtInv+I+G4,31064.522,103,62335.045,62361.013,62832.958
165,mtInv+F,31226.558,120,62693.116,62729.057,63273.209
166,mtInv+F+I,30613.237,121,61468.473,61505.058,62053.401
167,mtInv+F+G4,29510.153,121,59262.306,59298.891,59847.233
168,mtInv+F+I+G4,29488.645,122,59221.289,59258.525,59811.050
