No.,Model,-LnL,df,AIC,AICc,BIC
92,DCMut+I+G4,15818.060,121,31878.120,31964.448,32379.046
93,DCMut+F,16145.249,138,32566.498,32684.542,33137.803
94,DCMut+F+I,16058.332,139,32394.664,32514.788,32970.108
95,DCMut+F+G4,15732.165,139,31742.330,31862.454,32317.774
96,DCMut+F+I+G4,15719.973,140,31719.946,31842.175,32299.530
97,PMB,16187.252,119,32612.503,32695.526,33105.149
98,PMB+I,16112.695,120,32465.391,32550.056,32962.177
99,PMB+G4,15845.348,120,31930.696,32015.361,32427.482
100,PMB+I+G4,15835.009,121,31912.018,31998.346,32412.944
101,PMB+F,16153.588,138,32583.175,32701.218,33154.479
102,PMB+F+I,16078.937,139,32435.874,32555.998,33011.318
103,PMB+F+G4,15809.864,139,31897.728,32017.851,32473.172
104,PMB+F+I+G4,15799.428,140,31878.856,32001.085,32458.440
105,HIVb,16391.872,119,33021.744,33104.767,33514.390
106,HIVb+I,16287.850,120,32815.700,32900.365,33312.486
107,HIVb+G4,15855.645,120,31951.290,32035.955,32448.076
108,HIVb+I+G4,15845.184,121,31932.368,32018.696,32433.294
109,HIVb+F,16301.333,138,32878.666,32996.709,33449.970
110,HIVb+F+I,16184.802,139,32647.604,32767.728,33223.048
111,HIVb+F+G4,15742.343,139,31762.686,31882.809,32338.130
112,HIVb+F+I+G4,15729.392,140,31738.783,31861.012,32318.367
113,HIVw,17013.471,119,34264.941,34347.965,34757.588
114,HIVw+I,16930.145,120,34100.290,34184.955,34597.076
115,HIVw+G4,16498.609,120,33237.218,33321.883,33734.004
116,HIVw+I+G4,16489.857,121,33221.714,33308.042,33722.640
117,HIVw+F,16624.379,138,33524.757,33642.801,34096.062
118,HIVw+F+I,16523.749,139,33325.497,33445.621,33900.941
119,HIVw+F+G4,16103.068,139,32484.136,32604.259,33059.579
120,HIVw+F+I+G4,16090.573,140,32461.145,32583.374,33040.729
121,JTTDCMut,15983.971,119,32205.942,32288.966,32698.589
122,JTTDCMut+I,15899.437,120,32038.875,32123.540,32535.661
123,JTTDCMut+G4,15586.028,120,31412.056,31496.721,31908.842
124,JTTDCMut+I+G4,15575.507,121,31393.014,31479.341,31893.940
125,JTTDCMut+F,15948.910,138,32173.820,32291.863,32745.124
126,JTTDCMut+F+I,15859.397,139,31996.794,32116.917,32572.238
127,JTTDCMut+F+G4,15543.120,139,31364.241,31484.364,31939.685
128,JTTDCMut+F+I+G4,15531.614,140,31343.228,31465.457,31922.812
129,FLU,16460.960,119,33159.920,33242.943,33652.566
130,FLU+I,16382.564,120,33005.127,33089.792,33501.913
131,FLU+G4,15965.768,120,32171.535,32256.200,32668.321
132,FLU+I+G4,15958.877,121,32159.754,32246.082,32660.680
133,FLU+F,16263.955,138,32803.909,32921.952,33375.213
134,FLU+F+I,16181.984,139,32641.968,32762.091,33217.412
135,FLU+F+G4,15752.713,139,31783.426,31903.549,32358.870
136,FLU+F+I+G4,15745.452,140,31770.903,31893.132,32350.487
137,Blosum62,16212.218,119,32662.436,32745.460,33155.083
138,Blosum62+I,16141.437,120,32522.873,32607.538,33019.659
139,Blosum62+G4,15877.728,120,31995.455,32080.120,32492.241
140,Blosum62+I+G4,15868.135,121,31978.270,32064.597,32479.196
141,Blosum62+F,16164.882,138,32605.763,32723.806,33177.067
142,Blosum62+F+I,16092.899,139,32463.798,32583.921,33039.242
143,Blosum62+F+G4,15828.163,139,31934.325,32054.449,32509.769
144,Blosum62+F+I+G4,15818.204,140,31916.408,32038.637,32495.992
145,mtMet,17011.659,119,34261.319,34344.342,34753.965
146,mtMet+I,16898.473,120,34036.946,34121.611,34533.732
147,mtMet+G4,16297.094,120,32834.188,32918.853,33330.974
148,mtMet+I+G4,16287.359,121,32816.718,32903.046,33317.644
149,mtMet+F,16260.327,138,32796.655,32914.698,33367.959
150,mtMet+F+I,16155.306,139,32588.613,32708.736,33164.056
151,mtMet+F+G4,15683.100,139,31644.200,31764.323,32219.644
152,mtMet+F+I+G4,15671.950,140,31623.901,31746.130,32203.485
153,mtVer,17106.868,119,34451.736,34534.760,34944.383
154,mtVer+I,16992.158,120,34224.316,34308.981,34721.102
155,mtVer+G4,16324.747,120,32889.494,32974.158,33386.280
156,mtVer+I+G4,16317.702,121,32877.404,32963.732,33378.331
157,mtVer+F,16437.142,138,33150.284,33268.327,33721.588
158,mtVer+F+I,16315.894,139,32909.787,33029.911,33485.231
159,mtVer+F+G4,15811.771,139,31901.542,32021.665,32476.986
160,mtVer+F+I+G4,15798.965,140,31877.930,32000.159,32457.513
161,mtInv,17138.718,119,34515.437,34598.460,35008.083
162,mtInv+I,17026.890,120,34293.780,34378.445,34790.567
163,mtInv+G4,16497.564,120,33235.127,33319.792,33731.914
164,mtInv+I+G4,16485.578,121,33213.155,33299.483,33714.081
165,mtInv+F,16198.994,138,32673.987,32792.030,33245.291
166,mtInv+F+I,16098.179,139,32474.359,32594.482,33049.802
167,mtInv+F+G4,15678.441,139,31634.881,31755.005,32210.325
168,mtInv+F+I+G4,15666.437,140,31612.875,31735.104,32192.458
