No.,Model,-LnL,df,AIC,AICc,BIC
40,cpREV+F+I+G4,18184.165,122,36612.331,36683.959,37136.353
41,mtREV,20713.839,101,41629.678,41676.505,42063.500
42,mtREV+I,20544.798,102,41293.596,41341.459,41731.713
43,mtREV+G4,19164.523,102,38533.046,38580.910,38971.163
44,mtREV+I+G4,19164.340,103,38534.679,38583.593,38977.092
45,mtREV+F,19505.299,120,39250.598,39319.577,39766.030
46,mtREV+F+I,19328.916,121,38899.832,38970.127,39419.559
47,mtREV+F+G4,18174.143,121,36590.286,36660.581,37110.013
48,mtREV+F+I+G4,18172.034,122,36588.069,36659.696,37112.091
49,rtREV,19605.468,101,39412.935,39459.762,39846.757
50,rtREV+I,19402.932,102,39009.864,39057.727,39447.981
51,rtREV+G4,18389.171,102,36982.343,37030.206,37420.460
52,rtREV+I+G4,18386.665,103,36979.330,37028.243,37421.742
53,rtREV+F,19388.594,120,39017.189,39086.167,39532.621
54,rtREV+F+I,19197.587,121,38637.173,38707.469,39156.901
55,rtREV+F+G4,18222.422,121,36686.844,36757.140,37206.572
56,rtREV+F+I+G4,18219.635,122,36683.270,36754.898,37207.293
57,mtART,22103.553,101,44409.105,44455.932,44842.927
58,mtART+I,21793.925,102,43791.850,43839.713,44229.967
59,mtART+G4,19854.448,102,39912.896,39960.759,40351.013
60,mtART+I+G4,19850.751,103,39907.502,39956.416,40349.915
61,mtART+F,20660.315,120,41560.629,41629.608,42076.061
62,mtART+F+I,20406.826,121,41055.651,41125.946,41575.378
63,mtART+F+G4,18851.259,121,37944.518,38014.813,38464.245
64,mtART+F+I+G4,18847.498,122,37938.997,38010.624,38463.019
65,mtZOA,20943.330,101,42088.660,42135.487,42522.482
66,mtZOA+I,20672.832,102,41549.664,41597.527,41987.781
67,mtZOA+G4,19125.534,102,38455.069,38502.932,38893.186
68,mtZOA+I+G4,19122.509,103,38451.018,38499.931,38893.430
69,mtZOA+F,19957.106,120,40154.212,40223.190,40669.644
70,mtZOA+F+I,19724.465,121,39690.930,39761.225,40210.657
71,mtZOA+F+G4,18473.724,121,37189.447,37259.742,37709.174
72,mtZOA+F+I+G4,18472.194,122,37188.387,37260.015,37712.410
73,VT,19013.961,101,38229.921,38276.748,38663.743
74,VT+I,18875.743,102,37955.486,38003.350,38393.603
75,VT+G4,18067.432,102,36338.865,36386.728,36776.982
76,VT+I+G4,18066.533,103,36339.065,36387.979,36781.478
77,VT+F,18872.974,120,37985.948,38054.927,38501.380
78,VT+F+I,18735.105,121,37712.211,37782.506,38231.938
79,VT+F+G4,17949.183,121,36140.367,36210.662,36660.094
80,VT+F+I+G4,17947.283,122,36138.566,36210.194,36662.589
81,LG,19441.182,101,39084.364,39131.191,39518.186
82,LG+I,19264.885,102,38733.771,38781.634,39171.888
83,LG+G4,18254.354,102,36712.707,36760.571,37150.824
84,LG+I+G4,18253.524,103,36713.047,36761.960,37155.460
85,LG+F,19217.140,120,38674.281,38743.260,39189.713
86,LG+F+I,19045.828,121,38333.657,38403.952,38853.384
87,LG+F+G4,18093.667,121,36429.334,36499.629,36949.061
88,LG+F+I+G4,18091.838,122,36427.676,36499.303,36951.698
89,DCMut,19079.753,101,38361.507,38408.334,38795.329
90,DCMut+I,18987.200,102,38178.400,38226.264,38616.517
91,DCMut+G4,18154.901,102,36513.802,36561.665,36951.919
92,DCMut+I+G4,18153.722,103,36513.443,36562.357,36955.856
93,DCMut+F,18941.456,120,38122.912,38191.891,38638.344
94,DCMut+F+I,18842.542,121,37927.083,37997.378,38446.810
95,DCMut+F+G4,18017.518,121,36277.035,36347.331,36796.763
96,DCMut+F+I+G4,18015.829,122,36275.658,36347.285,36799.680
97,PMB,19258.967,101,38719.934,38766.761,39153.756
98,PMB+I,19141.546,102,38487.093,38534.956,38925.210
99,PMB+G4,18307.343,102,36818.687,36866.550,37256.804
100,PMB+I+G4,18306.730,103,36819.460,36868.373,37261.873
101,PMB+F,19126.759,120,38493.518,38562.497,39008.950
102,PMB+F+I,19013.269,121,38268.539,38338.834,38788.266
103,PMB+F+G4,18205.738,121,36653.477,36723.772,37173.204
104,PMB+F+I+G4,18204.207,122,36652.414,36724.041,37176.436
105,HIVb,19391.184,101,38984.368,39031.196,39418.190
106,HIVb+I,19259.660,102,38723.321,38771.184,39161.438
107,HIVb+G4,18063.313,102,36330.625,36378.489,36768.742
108,HIVb+I+G4,18062.795,103,36331.590,36380.503,36774.002
109,HIVb+F,19216.239,120,38672.478,38741.457,39187.910
110,HIVb+F+I,19070.328,121,38382.656,38452.951,38902.383
111,HIVb+F+G4,17879.118,121,36000.236,36070.531,36519.963
112,HIVb+F+I+G4,17877.454,122,35998.907,36070.535,36522.930
113,HIVw,19840.079,101,39882.157,39928.984,40315.979
114,HIVw+I,19735.534,102,39675.068,39722.931,40113.185
115,HIVw+G4,18640.258,102,37484.517,37532.380,37922.634
116,HIVw+I+G4,18639.936,103,37485.872,37534.785,37928.284
117,HIVw+F,19354.812,120,38949.624,39018.603,39465.056
118,HIVw+F+I,19235.357,121,38712.714,38783.009,39232.441
119,HIVw+F+G4,18104.765,121,36451.530,36521.825,36971.257
120,HIVw+F+I+G4,18103.153,122,36450.305,36521.933,36974.328
121,JTTDCMut,18754.493,101,37710.985,37757.812,38144.807
122,JTTDCMut+I,18632.689,102,37469.378,37517.241,37907.495
123,JTTDCMut+G4,17765.156,102,35734.313,35782.176,36172.430
124,JTTDCMut+I+G4,17764.872,103,35735.745,35784.658,36178.157
125,JTTDCMut+F,18680.746,120,37601.492,37670.471,38116.924
126,JTTDCMut+F+I,18548.637,121,37339.273,37409.569,37859.001
127,JTTDCMut+F+G4,17693.252,121,35628.504,35698.800,36148.232
128,JTTDCMut+F+I+G4,17692.191,122,35628.382,35700.010,36152.404
129,FLU,19455.165,101,39112.331,39159.158,39546.153
130,FLU+I,19355.019,102,38914.037,38961.900,39352.154
131,FLU+G4,18266.263,102,36736.525,36784.389,37174.642
132,FLU+I+G4,18265.765,103,36737.531,36786.444,37179.943
133,FLU+F,19139.171,120,38518.343,38587.321,39033.774
134,FLU+F+I,19027.749,121,38297.497,38367.792,38817.224
135,FLU+F+G4,17905.439,121,36052.878,36123.173,36572.605
136,FLU+F+I+G4,17903.470,122,36050.940,36122.567,36574.962
137,Blosum62,19427.060,101,39056.120,39102.947,39489.942
138,Blosum62+I,19299.045,102,38802.091,38849.954,39240.208
139,Blosum62+G4,18456.617,102,37117.235,37165.098,37555.352
140,Blosum62+I+G4,18455.764,103,37117.528,37166.441,37559.940
141,Blosum62+F,19233.619,120,38707.237,38776.216,39222.669
142,Blosum62+F+I,19110.207,121,38462.414,38532.710,38982.142
143,Blosum62+F+G4,18292.701,121,36827.402,36897.697,37347.129
144,Blosum62+F+I+G4,18290.658,122,36825.316,36896.944,37349.339
145,mtMet,20561.258,101,41324.515,41371.342,41758.337
146,mtMet+I,20358.007,102,40920.013,40967.877,41358.130
147,mtMet+G4,19064.933,102,38333.865,38381.729,38771.983
148,mtMet+I+G4,19063.304,103,38332.609,38381.522,38775.021
149,mtMet+F,19244.181,120,38728.362,38797.341,39243.794
150,mtMet+F+I,19044.394,121,38330.788,38401.084,38850.516
151,mtMet+F+G4,17980.551,121,36203.102,36273.397,36722.829
152,mtMet+F+I+G4,17979.658,122,36203.316,36274.944,36727.338
153,mtVer,20608.569,101,41419.139,41465.966,41852.961
154,mtVer+I,20415.546,102,41035.092,41082.955,41473.209
155,mtVer+G4,18984.333,102,38172.666,38220.529,38610.783
156,mtVer+I+G4,18983.234,103,38172.468,38221.381,38614.880
157,mtVer+F,19416.314,120,39072.629,39141.607,39588.061
158,mtVer+F+I,19196.118,121,38634.236,38704.531,39153.963
159,mtVer+F+G4,18022.980,121,36287.960,36358.255,36807.687
160,mtVer+F+I+G4,18021.841,122,36287.681,36359.309,36811.704
161,mtInv,20761.189,101,41724.378,41771.205,42158.200
162,mtInv+I,20559.178,102,41322.355,41370.219,41760.473
163,mtInv+G4,19368.053,102,38940.106,38987.970,39378.223
164,mtInv+I+G4,19366.427,103,38938.854,38987.767,39381.266
165,mtInv+F,19270.388,120,38780.777,38849.755,39296.208
166,mtInv+F+I,19076.594,121,38395.189,38465.484,38914.916
167,mtInv+F+G4,18081.982,121,36405.964,36476.260,36925.692
168,mtInv+F+I+G4,18080.911,122,36405.822,36477.450,36929.845
