No.,Model,-LnL,df,AIC,AICc,BIC
129,FLU,9328.282,99,18854.564,18929.000,19240.925
130,FLU+I,9150.742,100,18501.485,18577.711,18891.748
131,FLU+G4,8877.569,100,17955.138,18031.364,18345.401
132,FLU+I+G4,8874.611,101,17951.222,18029.268,18345.388
133,FLU+F,9254.615,118,18745.231,18858.931,19205.742
134,FLU+F+I,9084.475,119,18406.950,18523.047,18871.363
135,FLU+F+G4,8818.001,119,17874.003,17990.100,18338.416
136,FLU+F+I+G4,8814.899,120,17869.798,17988.328,18338.114
137,Blosum62,9307.077,99,18812.153,18886.590,19198.514
138,Blosum62+I,9135.685,100,18471.370,18547.596,18861.633
139,Blosum62+G4,8934.098,100,18068.196,18144.422,18458.459
140,Blosum62+I+G4,8928.764,101,18059.529,18137.574,18453.695
141,Blosum62+F,9303.216,118,18842.431,18956.132,19302.942
142,Blosum62+F+I,9136.785,119,18511.569,18627.667,18975.983
143,Blosum62+F+G4,8945.282,119,18128.565,18244.662,18592.978
144,Blosum62+F+I+G4,8940.123,120,18120.245,18238.776,18588.561
145,mtMet,9792.267,99,19782.534,19856.970,20168.895
146,mtMet+I,9595.993,100,19391.986,19468.212,19782.249
147,mtMet+G4,9208.791,100,18617.582,18693.808,19007.845
148,mtMet+I+G4,9205.985,101,18613.970,18692.015,19008.136
149,mtMet+F,9280.330,118,18796.659,18910.360,19257.170
150,mtMet+F+I,9093.838,119,18425.676,18541.774,18890.089
151,mtMet+F+G4,8812.824,119,17863.647,17979.745,18328.061
152,mtMet+F+I+G4,8808.972,120,17857.943,17976.474,18326.259
153,mtVer,9870.475,99,19938.951,20013.387,20325.311
154,mtVer+I,9673.961,100,19547.922,19624.149,19938.186
155,mtVer+G4,9217.763,100,18635.526,18711.753,19025.790
156,mtVer+I+G4,9215.378,101,18632.756,18710.801,19026.922
157,mtVer+F,9389.071,118,19014.142,19127.843,19474.653
158,mtVer+F+I,9181.461,119,18600.922,18717.019,19065.335
159,mtVer+F+G4,8882.997,119,18003.994,18120.092,18468.408
160,mtVer+F+I+G4,8878.421,120,17996.841,18115.372,18465.157
161,mtInv,9840.982,99,19879.965,19954.401,20266.325
162,mtInv+I,9640.321,100,19480.641,19556.867,19870.904
163,mtInv+G4,9306.670,100,18813.340,18889.566,19203.603
164,mtInv+I+G4,9302.808,101,18807.615,18885.661,19201.781
165,mtInv+F,9219.274,118,18674.547,18788.248,19135.058
166,mtInv+F+I,9035.617,119,18309.234,18425.331,18773.647
167,mtInv+F+G4,8797.376,119,17832.752,17948.849,18297.165
168,mtInv+F+I+G4,8792.373,120,17824.746,17943.277,18293.062
