No.,Model,-LnL,df,AIC,AICc,BIC
37,cpREV+F,8530.609,132,17325.218,17417.135,17885.448
38,cpREV+F+I,8496.864,133,17259.728,17353.282,17824.202
39,cpREV+F+G4,8295.261,133,16856.521,16950.075,17420.996
40,cpREV+F+I+G4,8295.516,134,16859.032,16954.242,17427.750
41,mtREV,9335.824,113,18897.648,18961.897,19377.239
42,mtREV+I,9258.588,114,18745.176,18810.726,19229.011
43,mtREV+G4,8971.171,114,18170.342,18235.892,18654.177
44,mtREV+I+G4,8971.316,115,18172.632,18239.499,18660.711
45,mtREV+F,8649.111,132,17562.222,17654.138,18122.452
46,mtREV+F+I,8594.627,133,17455.253,17548.807,18019.727
47,mtREV+F+G4,8359.587,133,16985.174,17078.728,17549.648
48,mtREV+F+I+G4,8359.619,134,16987.237,17082.448,17555.956
49,rtREV,8803.328,113,17832.656,17896.905,18312.247
50,rtREV+I,8753.736,114,17735.473,17801.023,18219.308
51,rtREV+G4,8604.677,114,17437.354,17502.904,17921.189
52,rtREV+I+G4,8604.627,115,17439.254,17506.121,17927.333
53,rtREV+F,8561.377,132,17386.755,17478.671,17946.985
54,rtREV+F+I,8516.586,133,17299.171,17392.725,17863.645
55,rtREV+F+G4,8360.485,133,16986.970,17080.524,17551.445
56,rtREV+F+I+G4,8360.444,134,16988.888,17084.099,17557.607
57,mtART,10105.331,113,20436.663,20500.912,20916.253
58,mtART+I,9982.870,114,20193.740,20259.290,20677.575
59,mtART+G4,9555.548,114,19339.096,19404.646,19822.931
60,mtART+I+G4,9555.482,115,19340.964,19407.831,19829.043
61,mtART+F,9297.699,132,18859.399,18951.315,19419.629
62,mtART+F+I,9216.765,133,18699.530,18793.084,19264.005
63,mtART+F+G4,8844.971,133,17955.941,18049.495,18520.416
64,mtART+F+I+G4,8845.247,134,17958.495,18053.705,18527.213
65,mtZOA,9382.859,113,18991.718,19055.968,19471.309
66,mtZOA+I,9297.025,114,18822.050,18887.600,19305.885
67,mtZOA+G4,9048.698,114,18325.395,18390.945,18809.230
68,mtZOA+I+G4,9048.398,115,18326.796,18393.664,18814.876
69,mtZOA+F,8770.714,132,17805.428,17897.344,18365.658
70,mtZOA+F+I,8715.217,133,17696.433,17789.987,18260.907
71,mtZOA+F+G4,8509.745,133,17285.490,17379.043,17849.964
72,mtZOA+F+I+G4,8509.669,134,17287.339,17382.549,17856.057
73,VT,8564.417,113,17354.834,17419.083,17834.425
74,VT+I,8524.561,114,17277.121,17342.671,17760.956
75,VT+G4,8417.261,114,17062.521,17128.071,17546.356
76,VT+I+G4,8417.262,115,17064.524,17131.391,17552.603
77,VT+F,8373.258,132,17010.516,17102.432,17570.746
78,VT+F+I,8336.643,133,16939.285,17032.839,17503.760
79,VT+F+G4,8219.861,133,16705.721,16799.275,17270.195
80,VT+F+I+G4,8219.873,134,16707.746,16802.957,17276.465
81,LG,8716.066,113,17658.131,17722.381,18137.722
82,LG+I,8667.870,114,17563.739,17629.289,18047.574
83,LG+G4,8532.439,114,17292.877,17358.427,17776.712
84,LG+I+G4,8532.404,115,17294.808,17361.675,17782.887
85,LG+F,8488.858,132,17241.716,17333.632,17801.946
86,LG+F+I,8445.983,133,17157.965,17251.519,17722.440
87,LG+F+G4,8302.454,133,16870.908,16964.462,17435.383
88,LG+F+I+G4,8302.389,134,16872.778,16967.989,17441.497
89,DCMut,8738.524,113,17703.048,17767.298,18182.639
90,DCMut+I,8699.904,114,17627.807,17693.357,18111.642
91,DCMut+G4,8554.575,114,17337.150,17402.700,17820.985
92,DCMut+I+G4,8554.540,115,17339.080,17405.947,17827.159
93,DCMut+F,8568.708,132,17401.417,17493.333,17961.647
94,DCMut+F+I,8525.474,133,17316.947,17410.501,17881.421
95,DCMut+F+G4,8359.842,133,16985.684,17079.238,17550.158
96,DCMut+F+I+G4,8359.705,134,16987.411,17082.621,17556.129
97,PMB,8656.063,113,17538.126,17602.375,18017.717
98,PMB+I,8613.159,114,17454.318,17519.868,17938.153
99,PMB+G4,8495.838,114,17219.677,17285.227,17703.512
100,PMB+I+G4,8495.863,115,17221.726,17288.593,17709.805
101,PMB+F,8487.235,132,17238.470,17330.387,17798.700
102,PMB+F+I,8452.480,133,17170.960,17264.514,17735.434
103,PMB+F+G4,8326.179,133,16918.357,17011.911,17482.832
104,PMB+F+I+G4,8326.313,134,16920.626,17015.837,17489.345
105,HIVb,8624.584,113,17475.167,17539.417,17954.758
106,HIVb+I,8578.960,114,17385.919,17451.469,17869.754
107,HIVb+G4,8420.151,114,17068.303,17133.853,17552.138
108,HIVb+I+G4,8420.230,115,17070.460,17137.327,17558.539
109,HIVb+F,8467.239,132,17198.478,17290.394,17758.708
110,HIVb+F+I,8425.809,133,17117.618,17211.172,17682.092
111,HIVb+F+G4,8253.439,133,16772.878,16866.432,17337.352
112,HIVb+F+I+G4,8253.521,134,16775.042,16870.252,17343.760
113,HIVw,8905.144,113,18036.289,18100.538,18515.879
114,HIVw+I,8862.594,114,17953.187,18018.737,18437.022
115,HIVw+G4,8681.747,114,17591.494,17657.044,18075.329
116,HIVw+I+G4,8681.860,115,17593.720,17660.587,18081.799
117,HIVw+F,8666.383,132,17596.765,17688.681,18156.995
118,HIVw+F+I,8624.283,133,17514.565,17608.119,18079.039
119,HIVw+F+G4,8444.637,133,17155.275,17248.829,17719.749
120,HIVw+F+I+G4,8444.715,134,17157.431,17252.641,17726.149
121,JTTDCMut,8448.335,113,17122.670,17186.919,17602.261
122,JTTDCMut+I,8408.250,114,17044.500,17110.050,17528.335
123,JTTDCMut+G4,8296.872,114,16821.744,16887.294,17305.580
124,JTTDCMut+I+G4,8296.832,115,16823.664,16890.531,17311.743
125,JTTDCMut+F,8301.931,132,16867.862,16959.778,17428.092
126,JTTDCMut+F+I,8263.748,133,16793.496,16887.050,17357.970
127,JTTDCMut+F+G4,8145.618,133,16557.235,16650.789,17121.709
128,JTTDCMut+F+I+G4,8145.554,134,16559.108,16654.318,17127.826
129,FLU,8772.270,113,17770.539,17834.789,18250.130
130,FLU+I,8732.937,114,17693.875,17759.425,18177.710
131,FLU+G4,8554.726,114,17337.452,17403.002,17821.287
132,FLU+I+G4,8554.852,115,17339.703,17406.570,17827.782
133,FLU+F,8555.309,132,17374.617,17466.534,17934.847
134,FLU+F+I,8519.841,133,17305.682,17399.236,17870.156
135,FLU+F+G4,8324.496,133,16914.992,17008.546,17479.467
136,FLU+F+I+G4,8324.689,134,16917.379,17012.589,17486.097
137,Blosum62,8719.311,113,17664.622,17728.871,18144.213
138,Blosum62+I,8673.696,114,17575.392,17640.942,18059.227
139,Blosum62+G4,8552.997,114,17333.994,17399.544,17817.829
140,Blosum62+I+G4,8552.983,115,17335.966,17402.833,17824.045
141,Blosum62+F,8518.937,132,17301.873,17393.789,17862.103
142,Blosum62+F+I,8481.415,133,17228.831,17322.385,17793.305
143,Blosum62+F+G4,8349.726,133,16965.451,17059.005,17529.926
144,Blosum62+F+I+G4,8349.769,134,16967.538,17062.749,17536.256
145,mtMet,9291.288,113,18808.576,18872.826,19288.167
146,mtMet+I,9213.413,114,18654.827,18720.377,19138.662
147,mtMet+G4,9017.369,114,18262.738,18328.288,18746.573
148,mtMet+I+G4,9016.957,115,18263.915,18330.782,18751.994
149,mtMet+F,8506.383,132,17276.766,17368.682,17836.996
150,mtMet+F+I,8454.555,133,17175.110,17268.664,17739.584
151,mtMet+F+G4,8303.654,133,16873.308,16966.862,17437.782
152,mtMet+F+I+G4,8303.480,134,16874.960,16970.170,17443.678
153,mtVer,9290.014,113,18806.027,18870.276,19285.618
154,mtVer+I,9204.963,114,18637.926,18703.476,19121.761
155,mtVer+G4,8972.230,114,18172.459,18238.009,18656.294
156,mtVer+I+G4,8970.836,115,18171.672,18238.539,18659.751
157,mtVer+F,8573.053,132,17410.106,17502.022,17970.336
158,mtVer+F+I,8512.102,133,17290.204,17383.758,17854.678
159,mtVer+F+G4,8341.312,133,16948.624,17042.178,17513.099
160,mtVer+F+I+G4,8340.709,134,16949.418,17044.629,17518.137
161,mtInv,9380.634,113,18987.269,19051.518,19466.860
162,mtInv+I,9307.206,114,18842.412,18907.962,19326.247
163,mtInv+G4,9145.007,114,18518.013,18583.563,19001.848
164,mtInv+I+G4,9144.141,115,18518.282,18585.149,19006.361
165,mtInv+F,8491.651,132,17247.302,17339.218,17807.532
166,mtInv+F+I,8443.109,133,17152.218,17245.772,17716.692
167,mtInv+F+G4,8307.394,133,16880.787,16974.341,17445.262
168,mtInv+F+I+G4,8306.996,134,16881.991,16977.202,17450.709
